SensorName,Time,Value
Preben - Canteen Humidity,2025-02-22 23:55:47,28.78
Preben - Canteen Humidity,2025-02-22 23:50:48,28.81
Preben - Canteen Humidity,2025-02-22 23:45:48,28.81
Preben - Canteen Humidity,2025-02-22 23:40:46,28.8
Preben - Canteen Humidity,2025-02-22 23:35:47,28.87
Preben - Canteen Humidity,2025-02-22 23:30:46,28.92
Preben - Canteen Humidity,2025-02-22 23:25:48,28.94
Preben - Canteen Humidity,2025-02-22 23:20:48,28.93
Preben - Canteen Humidity,2025-02-22 23:15:47,28.97
Preben - Canteen Humidity,2025-02-22 23:10:45,28.96
Preben - Canteen Humidity,2025-02-22 23:05:48,28.98
Preben - Canteen Humidity,2025-02-22 23:00:47,29.02
Preben - Canteen Humidity,2025-02-22 22:55:46,29.03
Preben - Canteen Humidity,2025-02-22 22:50:48,29.06
Preben - Canteen Humidity,2025-02-22 22:45:47,29.04
Preben - Canteen Humidity,2025-02-22 22:40:47,29.19
Preben - Canteen Humidity,2025-02-22 22:35:48,29.22
Preben - Canteen Humidity,2025-02-22 22:30:47,29.24
Preben - Canteen Humidity,2025-02-22 22:25:47,29.23
Preben - Canteen Humidity,2025-02-22 22:20:48,29.24
Preben - Canteen Humidity,2025-02-22 22:15:46,29.28
Preben - Canteen Humidity,2025-02-22 22:10:47,29.29
Preben - Canteen Humidity,2025-02-22 22:05:48,29.26
Preben - Canteen Humidity,2025-02-22 22:00:48,29.32
Preben - Canteen Humidity,2025-02-22 21:55:47,29.38
Preben - Canteen Humidity,2025-02-22 21:50:45,29.4
Preben - Canteen Humidity,2025-02-22 21:45:48,29.3
Preben - Canteen Humidity,2025-02-22 21:40:48,29.32
Preben - Canteen Humidity,2025-02-22 21:35:47,29.31
Preben - Canteen Humidity,2025-02-22 21:30:48,29.23
Preben - Canteen Humidity,2025-02-22 21:25:48,29.24
Preben - Canteen Humidity,2025-02-22 21:20:47,29.24
Preben - Canteen Humidity,2025-02-22 21:15:47,29.2
Preben - Canteen Humidity,2025-02-22 21:10:48,29.17
Preben - Canteen Humidity,2025-02-22 21:05:47,29.2
Preben - Canteen Humidity,2025-02-22 21:00:47,29.21
Preben - Canteen Humidity,2025-02-22 20:55:48,29.24
Preben - Canteen Humidity,2025-02-22 20:50:43,29.24
Preben - Canteen Humidity,2025-02-22 20:45:47,29.27
Preben - Canteen Humidity,2025-02-22 20:40:45,29.26
Preben - Canteen Humidity,2025-02-22 20:35:48,29.15
Preben - Canteen Humidity,2025-02-22 20:30:47,29.15
Preben - Canteen Humidity,2025-02-22 20:25:47,29.16
Preben - Canteen Humidity,2025-02-22 20:20:48,29.12
Preben - Canteen Humidity,2025-02-22 20:15:45,29.15
Preben - Canteen Humidity,2025-02-22 20:10:46,29.17
Preben - Canteen Humidity,2025-02-22 20:05:48,29.19
Preben - Canteen Humidity,2025-02-22 20:00:48,29.27
Preben - Canteen Humidity,2025-02-22 19:55:46,29.31
Preben - Canteen Humidity,2025-02-22 19:50:47,29.34
Preben - Canteen Humidity,2025-02-22 19:45:46,29.4
Preben - Canteen Humidity,2025-02-22 19:40:46,29.27
Preben - Canteen Humidity,2025-02-22 19:35:47,29.31
Preben - Canteen Humidity,2025-02-22 19:30:48,29.28
Preben - Canteen Humidity,2025-02-22 19:25:48,29.28
Preben - Canteen Humidity,2025-02-22 19:20:48,29.26
Preben - Canteen Humidity,2025-02-22 19:15:47,29.27
Preben - Canteen Humidity,2025-02-22 19:10:48,29.29
Preben - Canteen Humidity,2025-02-22 19:05:47,29.3
Preben - Canteen Humidity,2025-02-22 19:00:47,29.36
Preben - Canteen Humidity,2025-02-22 18:55:48,29.4
Preben - Canteen Humidity,2025-02-22 18:50:48,29.41
Preben - Canteen Humidity,2025-02-22 18:45:47,29.38
Preben - Canteen Humidity,2025-02-22 18:40:47,29.39
Preben - Canteen Humidity,2025-02-22 18:35:48,29.42
Preben - Canteen Humidity,2025-02-22 18:30:47,29.31
Preben - Canteen Humidity,2025-02-22 18:25:48,29.34
Preben - Canteen Humidity,2025-02-22 18:20:48,29.37
Preben - Canteen Humidity,2025-02-22 18:15:47,29.34
Preben - Canteen Humidity,2025-02-22 18:10:47,29.32
Preben - Canteen Humidity,2025-02-22 18:05:42,29.33
Preben - Canteen Humidity,2025-02-22 18:00:48,29.34
Preben - Canteen Humidity,2025-02-22 17:55:49,29.31
Preben - Canteen Humidity,2025-02-22 17:50:47,29.35
Preben - Canteen Humidity,2025-02-22 17:45:48,29.38
Preben - Canteen Humidity,2025-02-22 17:40:48,29.44
Preben - Canteen Humidity,2025-02-22 17:35:47,29.41
Preben - Canteen Humidity,2025-02-22 17:30:48,29.43
Preben - Canteen Humidity,2025-02-22 17:25:47,29.44
Preben - Canteen Humidity,2025-02-22 17:20:48,29.55
Preben - Canteen Humidity,2025-02-22 17:15:47,29.42
Preben - Canteen Humidity,2025-02-22 17:10:45,29.47
Preben - Canteen Humidity,2025-02-22 17:05:40,29.47
Preben - Canteen Humidity,2025-02-22 17:00:47,29.41
Preben - Canteen Humidity,2025-02-22 16:55:48,29.44
Preben - Canteen Humidity,2025-02-22 16:50:48,29.48
Preben - Canteen Humidity,2025-02-22 16:45:48,29.43
Preben - Canteen Humidity,2025-02-22 16:40:44,29.45
Preben - Canteen Humidity,2025-02-22 16:35:48,29.5
Preben - Canteen Humidity,2025-02-22 16:30:49,29.52
Preben - Canteen Humidity,2025-02-22 16:25:46,29.45
Preben - Canteen Humidity,2025-02-22 16:20:47,29.48
Preben - Canteen Humidity,2025-02-22 16:15:48,29.52
Preben - Canteen Humidity,2025-02-22 16:10:48,29.34
Preben - Canteen Humidity,2025-02-22 16:05:47,29.31
Preben - Canteen Humidity,2025-02-22 16:00:48,29.33
Preben - Canteen Humidity,2025-02-22 15:55:48,29.28
Preben - Canteen Humidity,2025-02-22 15:50:47,29.26
Preben - Canteen Humidity,2025-02-22 15:45:48,29.27
Preben - Canteen Humidity,2025-02-22 15:40:43,29.3
Preben - Canteen Humidity,2025-02-22 15:35:48,29.31
Preben - Canteen Humidity,2025-02-22 15:30:48,29.35
Preben - Canteen Humidity,2025-02-22 15:25:48,29.39
Preben - Canteen Humidity,2025-02-22 15:20:48,29.34
Preben - Canteen Humidity,2025-02-22 15:15:47,29.36
Preben - Canteen Humidity,2025-02-22 15:10:48,29.4
Preben - Canteen Humidity,2025-02-22 15:05:48,29.43
Preben - Canteen Humidity,2025-02-22 15:00:46,29.4
Preben - Canteen Humidity,2025-02-22 14:55:48,29.43
Preben - Canteen Humidity,2025-02-22 14:50:48,29.45
Preben - Canteen Humidity,2025-02-22 14:45:46,29.53
Preben - Canteen Humidity,2025-02-22 14:40:48,29.43
Preben - Canteen Humidity,2025-02-22 14:35:48,29.46
Preben - Canteen Humidity,2025-02-22 14:30:46,29.51
Preben - Canteen Humidity,2025-02-22 14:25:48,29.43
Preben - Canteen Humidity,2025-02-22 14:20:48,29.46
Preben - Canteen Humidity,2025-02-22 14:15:47,29.51
Preben - Canteen Humidity,2025-02-22 14:10:48,29.57
Preben - Canteen Humidity,2025-02-22 14:05:47,29.43
Preben - Canteen Humidity,2025-02-22 14:00:48,29.45
Preben - Canteen Humidity,2025-02-22 13:55:48,29.47
Preben - Canteen Humidity,2025-02-22 13:50:44,29.35
Preben - Canteen Humidity,2025-02-22 13:45:48,29.37
Preben - Canteen Humidity,2025-02-22 13:40:48,29.41
Preben - Canteen Humidity,2025-02-22 13:35:48,29.45
Preben - Canteen Humidity,2025-02-22 13:30:47,29.42
Preben - Canteen Humidity,2025-02-22 13:25:48,29.45
Preben - Canteen Humidity,2025-02-22 13:20:48,29.48
Preben - Canteen Humidity,2025-02-22 13:15:44,29.5
Preben - Canteen Humidity,2025-02-22 13:10:47,29.48
Preben - Canteen Humidity,2025-02-22 13:05:47,29.5
Preben - Canteen Humidity,2025-02-22 13:00:48,29.51
Preben - Canteen Humidity,2025-02-22 12:55:47,29.46
Preben - Canteen Humidity,2025-02-22 12:50:48,29.52
Preben - Canteen Humidity,2025-02-22 12:45:48,29.52
Preben - Canteen Humidity,2025-02-22 12:40:46,29.51
Preben - Canteen Humidity,2025-02-22 12:35:47,29.55
Preben - Canteen Humidity,2025-02-22 12:30:49,29.58
Preben - Canteen Humidity,2025-02-22 12:25:46,29.66
Preben - Canteen Humidity,2025-02-22 12:20:47,29.56
Preben - Canteen Humidity,2025-02-22 12:15:48,29.58
Preben - Canteen Humidity,2025-02-22 12:10:48,29.58
Preben - Canteen Humidity,2025-02-22 12:05:46,29.66
Preben - Canteen Humidity,2025-02-22 12:00:47,29.56
Preben - Canteen Humidity,2025-02-22 11:55:48,29.61
Preben - Canteen Humidity,2025-02-22 11:50:45,29.66
Preben - Canteen Humidity,2025-02-22 11:45:47,29.62
Preben - Canteen Humidity,2025-02-22 11:40:47,29.67
Preben - Canteen Humidity,2025-02-22 11:35:46,29.74
Preben - Canteen Humidity,2025-02-22 11:30:47,29.75
Preben - Canteen Humidity,2025-02-22 11:25:47,29.8
Preben - Canteen Humidity,2025-02-22 11:20:48,29.84
Preben - Canteen Humidity,2025-02-22 11:15:46,29.86
Preben - Canteen Humidity,2025-02-22 11:10:47,29.89
Preben - Canteen Humidity,2025-02-22 11:05:45,29.94
Preben - Canteen Humidity,2025-02-22 11:00:48,29.99
Preben - Canteen Humidity,2025-02-22 10:55:47,30.05
Preben - Canteen Humidity,2025-02-22 10:50:47,30
Preben - Canteen Humidity,2025-02-22 10:45:48,30.04
Preben - Canteen Humidity,2025-02-22 10:35:47,30.17
Preben - Canteen Humidity,2025-02-22 10:30:46,30.15
Preben - Canteen Humidity,2025-02-22 10:25:48,30.23
Preben - Canteen Humidity,2025-02-22 10:20:47,30.3
Preben - Canteen Humidity,2025-02-22 10:15:47,30.23
Preben - Canteen Humidity,2025-02-22 10:10:48,30.33
Preben - Canteen Humidity,2025-02-22 10:05:46,30.39
Preben - Canteen Humidity,2025-02-22 10:00:47,30.47
Preben - Canteen Humidity,2025-02-22 09:55:48,30.21
Preben - Canteen Humidity,2025-02-22 09:50:48,30.24
Preben - Canteen Humidity,2025-02-22 09:45:47,30.31
Preben - Canteen Humidity,2025-02-22 09:40:47,30.3
Preben - Canteen Humidity,2025-02-22 09:35:48,30.13
Preben - Canteen Humidity,2025-02-22 09:30:47,30.22
Preben - Canteen Humidity,2025-02-22 09:25:47,30.21
Preben - Canteen Humidity,2025-02-22 09:20:48,30.03
Preben - Canteen Humidity,2025-02-22 09:15:43,30.09
Preben - Canteen Humidity,2025-02-22 09:10:47,30.11
Preben - Canteen Humidity,2025-02-22 09:05:47,30.19
Preben - Canteen Humidity,2025-02-22 09:00:48,30
Preben - Canteen Humidity,2025-02-22 08:55:47,30.05
Preben - Canteen Humidity,2025-02-22 08:50:45,30.12
Preben - Canteen Humidity,2025-02-22 08:45:48,29.84
Preben - Canteen Humidity,2025-02-22 08:40:48,29.88
Preben - Canteen Humidity,2025-02-22 08:35:47,29.92
Preben - Canteen Humidity,2025-02-22 08:30:48,29.94
Preben - Canteen Humidity,2025-02-22 08:25:48,29.75
Preben - Canteen Humidity,2025-02-22 08:20:47,29.76
Preben - Canteen Humidity,2025-02-22 08:15:48,29.78
Preben - Canteen Humidity,2025-02-22 08:10:48,29.8
Preben - Canteen Humidity,2025-02-22 08:05:48,29.65
Preben - Canteen Humidity,2025-02-22 08:00:47,29.7
Preben - Canteen Humidity,2025-02-22 07:55:48,29.63
Preben - Canteen Humidity,2025-02-22 07:50:48,29.55
Preben - Canteen Humidity,2025-02-22 07:45:47,29.59
Preben - Canteen Humidity,2025-02-22 07:40:47,29.58
Preben - Canteen Humidity,2025-02-22 07:35:48,29.7
Preben - Canteen Humidity,2025-02-22 07:30:46,29.7
Preben - Canteen Humidity,2025-02-22 07:25:47,29.76
Preben - Canteen Humidity,2025-02-22 07:20:48,29.83
Preben - Canteen Humidity,2025-02-22 07:15:46,29.59
Preben - Canteen Humidity,2025-02-22 07:10:47,29.48
Preben - Canteen Humidity,2025-02-22 07:05:47,29.55
Preben - Canteen Humidity,2025-02-22 07:00:48,29.59
Preben - Canteen Humidity,2025-02-22 06:55:47,29.71
Preben - Canteen Humidity,2025-02-22 06:50:47,29.8
Preben - Canteen Humidity,2025-02-22 06:45:48,29.83
Preben - Canteen Humidity,2025-02-22 06:40:47,29.96
Preben - Canteen Humidity,2025-02-22 06:35:47,29.7
Preben - Canteen Humidity,2025-02-22 06:30:46,29.76
Preben - Canteen Humidity,2025-02-22 06:25:48,29.73
Preben - Canteen Humidity,2025-02-22 06:20:47,29.65
Preben - Canteen Humidity,2025-02-22 06:15:47,29.69
Preben - Canteen Humidity,2025-02-22 06:10:48,29.73
Preben - Canteen Humidity,2025-02-22 06:05:48,29.79
Preben - Canteen Humidity,2025-02-22 06:00:47,29.58
Preben - Canteen Humidity,2025-02-22 05:55:48,29.65
Preben - Canteen Humidity,2025-02-22 05:50:48,29.69
Preben - Canteen Humidity,2025-02-22 05:45:47,29.85
Preben - Canteen Humidity,2025-02-22 05:35:47,29.59
Preben - Canteen Humidity,2025-02-22 05:30:43,29.61
Preben - Canteen Humidity,2025-02-22 05:25:47,29.65
Preben - Canteen Humidity,2025-02-22 05:20:48,29.54
Preben - Canteen Humidity,2025-02-22 05:15:48,29.56
Preben - Canteen Humidity,2025-02-22 05:10:44,29.57
Preben - Canteen Humidity,2025-02-22 05:05:47,29.29
Preben - Canteen Humidity,2025-02-22 05:00:47,29.32
Preben - Canteen Humidity,2025-02-22 04:55:47,29.33
Preben - Canteen Humidity,2025-02-22 04:50:47,29.38
Preben - Canteen Humidity,2025-02-22 04:45:48,29.03
Preben - Canteen Humidity,2025-02-22 04:40:48,29.04
Preben - Canteen Humidity,2025-02-22 04:35:47,29.09
Preben - Canteen Humidity,2025-02-22 04:30:47,29.07
Preben - Canteen Humidity,2025-02-22 04:25:48,29.13
Preben - Canteen Humidity,2025-02-22 04:20:47,29.19
Preben - Canteen Humidity,2025-02-22 04:15:47,29.23
Preben - Canteen Humidity,2025-02-22 04:10:48,29.1
Preben - Canteen Humidity,2025-02-22 04:05:43,29.13
Preben - Canteen Humidity,2025-02-22 04:00:47,29.15
Preben - Canteen Humidity,2025-02-22 03:55:48,29.32
Preben - Canteen Humidity,2025-02-22 03:50:47,29.17
Preben - Canteen Humidity,2025-02-22 03:45:48,29.2
Preben - Canteen Humidity,2025-02-22 03:40:47,29.24
Preben - Canteen Humidity,2025-02-22 03:35:48,29.17
Preben - Canteen Humidity,2025-02-22 03:30:47,29.24
Preben - Canteen Humidity,2025-02-22 03:25:48,29.26
Preben - Canteen Humidity,2025-02-22 03:20:48,29.32
Preben - Canteen Humidity,2025-02-22 03:15:48,29.06
Preben - Canteen Humidity,2025-02-22 03:10:48,29.11
Preben - Canteen Humidity,2025-02-22 03:05:47,29.08
Preben - Canteen Humidity,2025-02-22 03:00:48,29.17
Preben - Canteen Humidity,2025-02-22 02:55:48,28.97
Preben - Canteen Humidity,2025-02-22 02:50:48,29.01
Preben - Canteen Humidity,2025-02-22 02:45:48,29.03
Preben - Canteen Humidity,2025-02-22 02:40:48,28.84
Preben - Canteen Humidity,2025-02-22 02:35:48,28.88
Preben - Canteen Humidity,2025-02-22 02:30:47,28.89
Preben - Canteen Humidity,2025-02-22 02:25:48,28.82
Preben - Canteen Humidity,2025-02-22 02:20:48,28.7
Preben - Canteen Humidity,2025-02-22 02:15:47,28.75
Preben - Canteen Humidity,2025-02-22 02:10:48,28.76
Preben - Canteen Humidity,2025-02-22 02:05:45,28.63
Preben - Canteen Humidity,2025-02-22 02:00:46,28.68
Preben - Canteen Humidity,2025-02-22 01:55:48,28.71
Preben - Canteen Humidity,2025-02-22 01:50:48,28.77
Preben - Canteen Humidity,2025-02-22 01:45:48,28.63
Preben - Canteen Humidity,2025-02-22 01:40:48,28.67
Preben - Canteen Humidity,2025-02-22 01:35:48,28.68
Preben - Canteen Humidity,2025-02-22 01:30:45,28.75
Preben - Canteen Humidity,2025-02-22 01:25:48,28.59
Preben - Canteen Humidity,2025-02-22 01:20:48,28.64
Preben - Canteen Humidity,2025-02-22 01:15:48,28.66
Preben - Canteen Humidity,2025-02-22 01:10:48,28.57
Preben - Canteen Humidity,2025-02-22 01:05:46,28.46
Preben - Canteen Humidity,2025-02-22 01:00:44,28.5
Preben - Canteen Humidity,2025-02-22 00:55:48,28.53
Preben - Canteen Humidity,2025-02-22 00:50:48,28.33
Preben - Canteen Humidity,2025-02-22 00:45:45,28.38
Preben - Canteen Humidity,2025-02-22 00:40:48,28.37
Preben - Canteen Humidity,2025-02-22 00:35:44,28.37
Preben - Canteen Humidity,2025-02-22 00:30:46,28.34
Preben - Canteen Humidity,2025-02-22 00:25:48,28.42
Preben - Canteen Humidity,2025-02-22 00:20:48,28.44
Preben - Canteen Humidity,2025-02-22 00:15:48,28.48
Preben - Canteen Humidity,2025-02-22 00:10:47,28.35
Preben - Canteen Humidity,2025-02-22 00:05:47,28.36
Preben - Canteen Humidity,2025-02-22 00:00:48,28.39
Preben - Canteen Temperature,2025-02-22 23:55:47,22.68
Preben - Canteen Temperature,2025-02-22 23:50:48,22.68
Preben - Canteen Temperature,2025-02-22 23:45:48,22.67
Preben - Canteen Temperature,2025-02-22 23:40:46,22.68
Preben - Canteen Temperature,2025-02-22 23:35:47,22.68
Preben - Canteen Temperature,2025-02-22 23:30:46,22.68
Preben - Canteen Temperature,2025-02-22 23:25:48,22.68
Preben - Canteen Temperature,2025-02-22 23:20:48,22.68
Preben - Canteen Temperature,2025-02-22 23:15:47,22.68
Preben - Canteen Temperature,2025-02-22 23:10:45,22.68
Preben - Canteen Temperature,2025-02-22 23:05:48,22.68
Preben - Canteen Temperature,2025-02-22 23:00:47,22.68
Preben - Canteen Temperature,2025-02-22 22:55:46,22.68
Preben - Canteen Temperature,2025-02-22 22:50:48,22.69
Preben - Canteen Temperature,2025-02-22 22:45:47,22.69
Preben - Canteen Temperature,2025-02-22 22:40:47,22.69
Preben - Canteen Temperature,2025-02-22 22:35:48,22.69
Preben - Canteen Temperature,2025-02-22 22:30:47,22.69
Preben - Canteen Temperature,2025-02-22 22:25:47,22.7
Preben - Canteen Temperature,2025-02-22 22:20:48,22.7
Preben - Canteen Temperature,2025-02-22 22:15:46,22.7
Preben - Canteen Temperature,2025-02-22 22:10:47,22.7
Preben - Canteen Temperature,2025-02-22 22:05:48,22.75
Preben - Canteen Temperature,2025-02-22 22:00:48,22.69
Preben - Canteen Temperature,2025-02-22 21:55:47,22.7
Preben - Canteen Temperature,2025-02-22 21:50:45,22.69
Preben - Canteen Temperature,2025-02-22 21:45:48,22.71
Preben - Canteen Temperature,2025-02-22 21:40:48,22.7
Preben - Canteen Temperature,2025-02-22 21:35:47,22.71
Preben - Canteen Temperature,2025-02-22 21:30:48,22.72
Preben - Canteen Temperature,2025-02-22 21:25:48,22.71
Preben - Canteen Temperature,2025-02-22 21:20:47,22.71
Preben - Canteen Temperature,2025-02-22 21:15:47,22.71
Preben - Canteen Temperature,2025-02-22 21:10:48,22.71
Preben - Canteen Temperature,2025-02-22 21:05:47,22.72
Preben - Canteen Temperature,2025-02-22 21:00:47,22.71
Preben - Canteen Temperature,2025-02-22 20:55:48,22.72
Preben - Canteen Temperature,2025-02-22 20:50:43,22.73
Preben - Canteen Temperature,2025-02-22 20:45:47,22.72
Preben - Canteen Temperature,2025-02-22 20:40:45,22.72
Preben - Canteen Temperature,2025-02-22 20:35:48,22.72
Preben - Canteen Temperature,2025-02-22 20:30:47,22.72
Preben - Canteen Temperature,2025-02-22 20:25:47,22.72
Preben - Canteen Temperature,2025-02-22 20:20:48,22.73
Preben - Canteen Temperature,2025-02-22 20:15:45,22.73
Preben - Canteen Temperature,2025-02-22 20:10:46,22.73
Preben - Canteen Temperature,2025-02-22 20:05:48,22.73
Preben - Canteen Temperature,2025-02-22 20:00:48,22.74
Preben - Canteen Temperature,2025-02-22 19:55:46,22.74
Preben - Canteen Temperature,2025-02-22 19:50:47,22.73
Preben - Canteen Temperature,2025-02-22 19:45:46,22.74
Preben - Canteen Temperature,2025-02-22 19:40:46,22.74
Preben - Canteen Temperature,2025-02-22 19:35:47,22.75
Preben - Canteen Temperature,2025-02-22 19:30:48,22.75
Preben - Canteen Temperature,2025-02-22 19:25:48,22.75
Preben - Canteen Temperature,2025-02-22 19:20:48,22.76
Preben - Canteen Temperature,2025-02-22 19:15:47,22.75
Preben - Canteen Temperature,2025-02-22 19:10:48,22.75
Preben - Canteen Temperature,2025-02-22 19:05:47,22.76
Preben - Canteen Temperature,2025-02-22 19:00:47,22.76
Preben - Canteen Temperature,2025-02-22 18:55:48,22.76
Preben - Canteen Temperature,2025-02-22 18:50:48,22.76
Preben - Canteen Temperature,2025-02-22 18:45:47,22.76
Preben - Canteen Temperature,2025-02-22 18:40:47,22.76
Preben - Canteen Temperature,2025-02-22 18:35:48,22.77
Preben - Canteen Temperature,2025-02-22 18:30:47,22.77
Preben - Canteen Temperature,2025-02-22 18:25:48,22.76
Preben - Canteen Temperature,2025-02-22 18:20:48,22.76
Preben - Canteen Temperature,2025-02-22 18:15:47,22.76
Preben - Canteen Temperature,2025-02-22 18:10:47,22.77
Preben - Canteen Temperature,2025-02-22 18:05:42,22.77
Preben - Canteen Temperature,2025-02-22 18:00:48,22.77
Preben - Canteen Temperature,2025-02-22 17:55:49,22.77
Preben - Canteen Temperature,2025-02-22 17:50:47,22.78
Preben - Canteen Temperature,2025-02-22 17:45:48,22.77
Preben - Canteen Temperature,2025-02-22 17:40:48,22.78
Preben - Canteen Temperature,2025-02-22 17:35:47,22.78
Preben - Canteen Temperature,2025-02-22 17:30:48,22.78
Preben - Canteen Temperature,2025-02-22 17:25:47,22.78
Preben - Canteen Temperature,2025-02-22 17:20:48,22.79
Preben - Canteen Temperature,2025-02-22 17:15:47,22.79
Preben - Canteen Temperature,2025-02-22 17:10:45,22.79
Preben - Canteen Temperature,2025-02-22 17:05:40,22.8
Preben - Canteen Temperature,2025-02-22 17:00:47,22.79
Preben - Canteen Temperature,2025-02-22 16:55:48,22.8
Preben - Canteen Temperature,2025-02-22 16:50:48,22.8
Preben - Canteen Temperature,2025-02-22 16:45:48,22.82
Preben - Canteen Temperature,2025-02-22 16:40:44,22.82
Preben - Canteen Temperature,2025-02-22 16:35:48,22.81
Preben - Canteen Temperature,2025-02-22 16:30:49,22.82
Preben - Canteen Temperature,2025-02-22 16:25:46,22.83
Preben - Canteen Temperature,2025-02-22 16:20:47,22.82
Preben - Canteen Temperature,2025-02-22 16:15:48,22.82
Preben - Canteen Temperature,2025-02-22 16:10:48,22.83
Preben - Canteen Temperature,2025-02-22 16:05:47,22.82
Preben - Canteen Temperature,2025-02-22 16:00:48,22.82
Preben - Canteen Temperature,2025-02-22 15:55:48,22.83
Preben - Canteen Temperature,2025-02-22 15:50:47,22.83
Preben - Canteen Temperature,2025-02-22 15:45:48,22.82
Preben - Canteen Temperature,2025-02-22 15:40:43,22.82
Preben - Canteen Temperature,2025-02-22 15:35:48,22.82
Preben - Canteen Temperature,2025-02-22 15:30:48,22.82
Preben - Canteen Temperature,2025-02-22 15:25:48,22.81
Preben - Canteen Temperature,2025-02-22 15:20:48,22.81
Preben - Canteen Temperature,2025-02-22 15:15:47,22.82
Preben - Canteen Temperature,2025-02-22 15:10:48,22.81
Preben - Canteen Temperature,2025-02-22 15:05:48,22.81
Preben - Canteen Temperature,2025-02-22 15:00:46,22.81
Preben - Canteen Temperature,2025-02-22 14:55:48,22.81
Preben - Canteen Temperature,2025-02-22 14:50:48,22.81
Preben - Canteen Temperature,2025-02-22 14:45:46,22.81
Preben - Canteen Temperature,2025-02-22 14:40:48,22.82
Preben - Canteen Temperature,2025-02-22 14:35:48,22.82
Preben - Canteen Temperature,2025-02-22 14:30:46,22.82
Preben - Canteen Temperature,2025-02-22 14:25:48,22.82
Preben - Canteen Temperature,2025-02-22 14:20:48,22.82
Preben - Canteen Temperature,2025-02-22 14:15:47,22.82
Preben - Canteen Temperature,2025-02-22 14:10:48,22.82
Preben - Canteen Temperature,2025-02-22 14:05:47,22.82
Preben - Canteen Temperature,2025-02-22 14:00:48,22.81
Preben - Canteen Temperature,2025-02-22 13:55:48,22.81
Preben - Canteen Temperature,2025-02-22 13:50:44,22.81
Preben - Canteen Temperature,2025-02-22 13:45:48,22.82
Preben - Canteen Temperature,2025-02-22 13:40:48,22.82
Preben - Canteen Temperature,2025-02-22 13:35:48,22.82
Preben - Canteen Temperature,2025-02-22 13:30:47,22.83
Preben - Canteen Temperature,2025-02-22 13:25:48,22.82
Preben - Canteen Temperature,2025-02-22 13:20:48,22.82
Preben - Canteen Temperature,2025-02-22 13:15:44,22.82
Preben - Canteen Temperature,2025-02-22 13:10:47,22.82
Preben - Canteen Temperature,2025-02-22 13:05:47,22.82
Preben - Canteen Temperature,2025-02-22 13:00:48,22.82
Preben - Canteen Temperature,2025-02-22 12:55:47,22.82
Preben - Canteen Temperature,2025-02-22 12:50:48,22.81
Preben - Canteen Temperature,2025-02-22 12:45:48,22.82
Preben - Canteen Temperature,2025-02-22 12:40:46,22.82
Preben - Canteen Temperature,2025-02-22 12:35:47,22.82
Preben - Canteen Temperature,2025-02-22 12:30:49,22.81
Preben - Canteen Temperature,2025-02-22 12:25:46,22.82
Preben - Canteen Temperature,2025-02-22 12:20:47,22.81
Preben - Canteen Temperature,2025-02-22 12:15:48,22.81
Preben - Canteen Temperature,2025-02-22 12:10:48,22.81
Preben - Canteen Temperature,2025-02-22 12:05:46,22.82
Preben - Canteen Temperature,2025-02-22 12:00:47,22.81
Preben - Canteen Temperature,2025-02-22 11:55:48,22.8
Preben - Canteen Temperature,2025-02-22 11:50:45,22.8
Preben - Canteen Temperature,2025-02-22 11:45:47,22.8
Preben - Canteen Temperature,2025-02-22 11:40:47,22.8
Preben - Canteen Temperature,2025-02-22 11:35:46,22.8
Preben - Canteen Temperature,2025-02-22 11:30:47,22.8
Preben - Canteen Temperature,2025-02-22 11:25:47,22.8
Preben - Canteen Temperature,2025-02-22 11:20:48,22.79
Preben - Canteen Temperature,2025-02-22 11:10:47,22.8
Preben - Canteen Temperature,2025-02-22 11:05:45,22.8
Preben - Canteen Temperature,2025-02-22 11:00:48,22.79
Preben - Canteen Temperature,2025-02-22 10:55:47,22.79
Preben - Canteen Temperature,2025-02-22 10:50:47,22.79
Preben - Canteen Temperature,2025-02-22 10:45:48,22.79
Preben - Canteen Temperature,2025-02-22 10:40:46,22.79
Preben - Canteen Temperature,2025-02-22 10:35:47,22.8
Preben - Canteen Temperature,2025-02-22 10:30:46,22.79
Preben - Canteen Temperature,2025-02-22 10:25:48,22.8
Preben - Canteen Temperature,2025-02-22 10:20:47,22.79
Preben - Canteen Temperature,2025-02-22 10:15:47,22.8
Preben - Canteen Temperature,2025-02-22 10:10:48,22.81
Preben - Canteen Temperature,2025-02-22 10:05:46,22.8
Preben - Canteen Temperature,2025-02-22 10:00:47,22.81
Preben - Canteen Temperature,2025-02-22 09:55:48,22.81
Preben - Canteen Temperature,2025-02-22 09:50:48,22.81
Preben - Canteen Temperature,2025-02-22 09:45:47,22.81
