Tag name: Preben - Office 407 - Humidity
Time, Value
2025-02-02 23:59:48,22.06
2025-02-02 23:54:49,22.05
2025-02-02 23:49:47,22.03
2025-02-02 23:44:48,22.07
2025-02-02 23:39:48,22.05
2025-02-02 23:34:48,22.06
2025-02-02 23:29:48,22.06
2025-02-02 23:24:48,22.04
2025-02-02 23:19:49,22.04
2025-02-02 23:14:47,22.04
2025-02-02 23:09:45,22.01
2025-02-02 23:04:48,21.97
2025-02-02 22:59:48,22.02
2025-02-02 22:54:47,22.04
2025-02-02 22:49:48,22.02
2025-02-02 22:44:48,22.02
2025-02-02 22:39:47,22.03
2025-02-02 22:34:48,22.02
2025-02-02 22:29:48,22.03
2025-02-02 22:24:45,22.06
2025-02-02 22:19:48,22.02
2025-02-02 22:14:48,22.03
2025-02-02 22:09:47,22.05
2025-02-02 22:04:48,22.06
2025-02-02 21:59:48,22
2025-02-02 21:49:48,22.04
2025-02-02 21:44:49,22.02
2025-02-02 21:39:48,22.03
2025-02-02 21:34:49,22.09
2025-02-02 21:29:48,22.05
2025-02-02 21:24:48,22.02
2025-02-02 21:19:49,22.01
2025-02-02 21:14:46,22.02
2025-02-02 21:09:48,22.02
2025-02-02 21:04:48,22.01
2025-02-02 20:59:47,22.06
2025-02-02 20:54:48,22.02
2025-02-02 20:49:48,22.02
2025-02-02 20:44:48,22.02
2025-02-02 20:39:48,22.02
2025-02-02 20:34:48,21.99
2025-02-02 20:29:46,22
2025-02-02 20:24:47,22.01
2025-02-02 20:14:48,21.99
2025-02-02 20:09:48,22.01
2025-02-02 20:04:47,21.94
2025-02-02 19:59:48,21.93
2025-02-02 19:54:48,21.93
2025-02-02 19:49:47,21.92
2025-02-02 19:44:47,21.89
2025-02-02 19:34:48,21.84
2025-02-02 19:29:48,21.81
2025-02-02 19:24:47,21.75
2025-02-02 19:19:48,21.77
2025-02-02 19:14:48,21.72
2025-02-02 19:09:47,21.69
2025-02-02 19:04:49,21.71
2025-02-02 18:59:48,21.69
2025-02-02 18:54:48,21.61
2025-02-02 18:49:48,21.61
2025-02-02 18:44:48,21.62
2025-02-02 18:39:47,21.67
2025-02-02 18:34:48,21.71
2025-02-02 18:29:49,21.73
2025-02-02 18:24:48,21.7
2025-02-02 18:19:48,21.7
2025-02-02 18:14:47,21.65
2025-02-02 18:09:49,21.61
2025-02-02 18:04:48,21.57
2025-02-02 17:59:48,21.59
2025-02-02 17:54:48,21.59
2025-02-02 17:49:48,21.57
2025-02-02 17:44:45,21.58
2025-02-02 17:39:48,21.57
2025-02-02 17:34:48,21.55
2025-02-02 17:29:48,21.55
2025-02-02 17:24:47,21.54
2025-02-02 17:19:48,21.51
2025-02-02 17:14:48,21.5
2025-02-02 17:09:47,21.52
2025-02-02 17:04:48,21.48
2025-02-02 16:59:47,21.44
