Tag name: Preben - Canteen Humidity
Time, Value
2025-03-12 23:57:00,22.63
2025-03-12 23:51:59,22.67
2025-03-12 23:46:59,22.61
2025-03-12 23:41:59,22.68
2025-03-12 23:36:58,22.67
2025-03-12 23:31:58,22.66
2025-03-12 23:27:00,22.79
2025-03-12 23:22:00,22.76
2025-03-12 23:17:00,22.81
2025-03-12 23:11:59,22.89
2025-03-12 23:06:57,22.84
2025-03-12 23:01:59,22.95
2025-03-12 22:57:00,22.98
2025-03-12 22:51:58,22.94
2025-03-12 22:47:00,23.13
2025-03-12 22:41:58,23.15
2025-03-12 22:36:55,23.15
2025-03-12 22:31:58,23.18
2025-03-12 22:27:01,23.16
2025-03-12 22:21:59,23.15
2025-03-12 22:17:00,23.17
2025-03-12 22:11:58,23.12
2025-03-12 22:06:59,23.11
2025-03-12 22:02:00,23.16
2025-03-12 21:56:58,23.05
2025-03-12 21:52:01,22.84
2025-03-12 21:47:00,23.18
2025-03-12 21:41:59,23.13
2025-03-12 21:37:01,22.96
2025-03-12 21:31:59,23.25
2025-03-12 21:27:00,23.22
2025-03-12 21:21:57,23.22
2025-03-12 21:16:59,23.45
2025-03-12 21:11:59,23.37
2025-03-12 21:06:59,23.47
2025-03-12 21:01:59,23.48
2025-03-12 20:56:58,23.44
2025-03-12 20:52:00,23.51
2025-03-12 20:46:59,23.45
2025-03-12 20:41:58,23.36
2025-03-12 20:37:00,23.45
2025-03-12 20:32:00,23.41
2025-03-12 20:26:59,23.27
2025-03-12 20:22:00,23.28
2025-03-12 20:17:00,23.36
2025-03-12 20:11:59,23.27
2025-03-12 20:06:59,23.3
2025-03-12 20:02:00,23.28
2025-03-12 19:56:59,23.02
2025-03-12 19:51:56,23.22
2025-03-12 19:46:59,23.11
2025-03-12 19:41:59,22.95
2025-03-12 19:37:00,23.28
2025-03-12 19:32:00,23.2
2025-03-12 19:27:00,23.26
2025-03-12 19:22:00,23.29
2025-03-12 19:17:00,23.16
2025-03-12 19:12:00,23.19
2025-03-12 19:07:00,23.32
2025-03-12 19:02:01,23.23
2025-03-12 18:56:59,23.36
2025-03-12 18:47:00,23.23
2025-03-12 18:42:00,23.43
2025-03-12 18:37:00,23.34
2025-03-12 18:32:00,23.21
2025-03-12 18:26:59,23.28
2025-03-12 18:21:59,23.13
2025-03-12 18:16:54,22.93
2025-03-12 18:12:00,23.15
2025-03-12 18:06:59,23.19
2025-03-12 18:01:59,23.03
2025-03-12 17:57:00,22.96
2025-03-12 17:52:00,23.38
2025-03-12 17:46:59,23.18
2025-03-12 17:42:00,23.15
2025-03-12 17:36:59,23.38
2025-03-12 17:32:00,23.18
2025-03-12 17:27:00,23.27
2025-03-12 17:22:00,23.35
2025-03-12 17:17:00,23.17
2025-03-12 17:12:00,23.15
2025-03-12 17:07:00,23.49
