Tag name: Preben - Canteen Temperature
Time, Value
2025-02-15 23:55:37,22.78
2025-02-15 23:50:38,22.79
2025-02-15 23:45:36,22.79
2025-02-15 23:40:37,22.79
2025-02-15 23:35:38,22.79
2025-02-15 23:30:36,22.79
2025-02-15 23:25:37,22.79
2025-02-15 23:20:37,22.79
2025-02-15 23:15:38,22.79
2025-02-15 23:10:37,22.79
2025-02-15 23:05:37,22.79
2025-02-15 23:00:38,22.79
2025-02-15 22:55:36,22.78
2025-02-15 22:50:37,22.79
2025-02-15 22:45:37,22.79
2025-02-15 22:40:36,22.79
2025-02-15 22:35:37,22.83
2025-02-15 22:30:36,22.78
2025-02-15 22:25:38,22.78
2025-02-15 22:20:36,22.78
2025-02-15 22:15:37,22.78
2025-02-15 22:10:37,22.78
2025-02-15 22:05:37,22.78
2025-02-15 22:00:36,22.78
2025-02-15 21:55:37,22.79
2025-02-15 21:50:38,22.78
2025-02-15 21:45:37,22.79
2025-02-15 21:35:37,22.79
2025-02-15 21:30:37,22.78
2025-02-15 21:25:37,22.79
2025-02-15 21:20:36,22.79
2025-02-15 21:15:37,22.78
2025-02-15 21:10:37,22.79
2025-02-15 21:05:37,22.78
2025-02-15 21:00:38,22.79
2025-02-15 20:55:36,22.79
2025-02-15 20:50:37,22.78
2025-02-15 20:45:37,22.79
2025-02-15 20:40:37,22.79
2025-02-15 20:35:37,22.78
2025-02-15 20:30:37,22.79
2025-02-15 20:25:37,22.79
2025-02-15 20:20:35,22.78
2025-02-15 20:15:37,22.79
2025-02-15 20:10:38,22.77
2025-02-15 20:05:37,22.77
2025-02-15 20:00:38,22.77
2025-02-15 19:55:37,22.77
2025-02-15 19:50:37,22.77
2025-02-15 19:45:37,22.76
2025-02-15 19:40:37,22.76
2025-02-15 19:35:38,22.76
2025-02-15 19:30:37,22.75
2025-02-15 19:25:38,22.75
2025-02-15 19:20:37,22.74
2025-02-15 19:15:37,22.74
2025-02-15 19:10:38,22.73
2025-02-15 19:05:37,22.72
2025-02-15 19:00:38,22.72
2025-02-15 18:55:35,22.71
2025-02-15 18:50:38,22.7
2025-02-15 18:40:37,22.72
2025-02-15 18:35:38,22.69
2025-02-15 18:30:37,22.66
2025-02-15 18:25:38,22.65
2025-02-15 18:20:37,22.64
2025-02-15 18:15:36,22.63
2025-02-15 18:10:38,22.61
2025-02-15 18:05:37,22.6
2025-02-15 18:00:38,22.59
2025-02-15 17:55:37,22.58
2025-02-15 17:50:37,22.56
2025-02-15 17:45:38,22.54
2025-02-15 17:40:36,22.53
2025-02-15 17:30:37,22.51
2025-02-15 17:25:38,22.51
2025-02-15 17:20:36,22.5
2025-02-15 17:15:38,22.48
2025-02-15 17:10:38,22.48
2025-02-15 17:05:34,22.48
2025-02-15 16:55:37,22.47
2025-02-15 16:50:38,22.48
2025-02-15 16:45:36,22.48
2025-02-15 16:40:35,22.48
2025-02-15 16:35:38,22.49
2025-02-15 16:30:34,22.5
2025-02-15 16:25:38,22.54
2025-02-15 16:20:37,22.54
2025-02-15 16:15:38,22.54
2025-02-15 16:10:34,22.55
2025-02-15 16:05:37,22.58
2025-02-15 16:00:38,22.59
2025-02-15 15:55:36,22.58
2025-02-15 15:50:37,22.6
2025-02-15 15:45:37,22.64
2025-02-15 15:40:35,22.65
2025-02-15 15:35:35,22.65
2025-02-15 15:30:37,22.66
2025-02-15 15:25:38,22.66
2025-02-15 15:20:36,22.69
2025-02-15 15:15:35,22.65
2025-02-15 15:10:37,22.67
2025-02-15 15:05:36,22.7
2025-02-15 15:00:37,22.7
2025-02-15 14:55:35,22.7
2025-02-15 14:50:38,22.7
2025-02-15 14:45:36,22.68
2025-02-15 14:40:35,22.72
2025-02-15 14:35:38,22.75
2025-02-15 14:30:36,22.75
2025-02-15 14:25:37,22.75
2025-02-15 14:20:37,22.74
2025-02-15 14:15:36,22.77
2025-02-15 14:10:36,22.82
2025-02-15 14:00:38,22.78
2025-02-15 13:55:36,22.79
2025-02-15 13:50:37,22.83
2025-02-15 13:45:37,22.83
2025-02-15 13:40:38,22.83
2025-02-15 13:35:37,22.83
2025-02-15 13:30:37,22.84
2025-02-15 13:25:36,22.87
2025-02-15 13:20:36,22.88
2025-02-15 13:15:36,22.88
2025-02-15 13:10:37,22.88
2025-02-15 13:05:36,22.88
2025-02-15 13:00:37,22.9
2025-02-15 12:50:38,22.92
2025-02-15 12:45:36,22.91
2025-02-15 12:40:36,22.94
2025-02-15 12:35:36,22.94
2025-02-15 12:30:38,22.94
2025-02-15 12:25:37,22.94
2025-02-15 12:20:37,22.96
2025-02-15 12:15:35,22.95
2025-02-15 12:10:36,22.96
2025-02-15 12:05:37,22.97
2025-02-15 12:00:38,22.97
2025-02-15 11:55:33,22.98
2025-02-15 11:50:37,22.98
2025-02-15 11:45:37,22.98
2025-02-15 11:40:36,22.98
2025-02-15 11:35:37,22.98
2025-02-15 11:30:37,22.98
2025-02-15 11:25:38,22.98
2025-02-15 11:20:38,22.97
2025-02-15 11:15:37,22.97
2025-02-15 11:10:37,22.97
2025-02-15 11:05:36,22.96
2025-02-15 11:00:37,22.97
