Tag name: Preben - Canteen Humidity
Time, Value
2025-03-14 23:56:59,19.81
2025-03-14 23:52:00,19.87
2025-03-14 23:47:00,19.89
2025-03-14 23:41:58,19.93
2025-03-14 23:36:57,19.96
2025-03-14 23:31:59,19.99
2025-03-14 23:27:01,20.02
2025-03-14 23:21:59,20.06
2025-03-14 23:16:59,20.08
2025-03-14 23:12:01,20.13
2025-03-14 23:06:55,20.15
2025-03-14 23:01:59,20.2
2025-03-14 22:57:01,20.22
2025-03-14 22:52:00,20.27
2025-03-14 22:46:59,20.29
2025-03-14 22:42:00,20.31
2025-03-14 22:37:01,20.35
2025-03-14 22:31:55,20.37
2025-03-14 22:27:00,20.41
2025-03-14 22:22:00,20.43
2025-03-14 22:17:00,20.44
2025-03-14 22:12:00,20.47
2025-03-14 22:06:57,20.46
2025-03-14 22:01:59,20.48
2025-03-14 21:57:01,20.49
2025-03-14 21:52:00,20.48
2025-03-14 21:47:01,20.47
2025-03-14 21:41:58,20.49
2025-03-14 21:36:59,20.47
2025-03-14 21:31:57,20.48
2025-03-14 21:26:59,20.45
2025-03-14 21:22:01,20.49
2025-03-14 21:16:59,20.47
2025-03-14 21:12:01,20.44
2025-03-14 21:07:00,20.47
2025-03-14 21:02:00,20.41
2025-03-14 20:56:57,20.42
2025-03-14 20:52:00,20.4
2025-03-14 20:46:59,20.48
2025-03-14 20:41:59,20.46
2025-03-14 20:37:00,20.46
2025-03-14 20:31:59,20.45
2025-03-14 20:26:59,20.48
2025-03-14 20:22:01,20.51
2025-03-14 20:16:58,20.47
2025-03-14 20:12:01,20.48
2025-03-14 20:06:59,20.48
2025-03-14 20:02:00,20.47
2025-03-14 19:57:01,20.46
2025-03-14 19:52:00,20.47
2025-03-14 19:47:01,20.43
2025-03-14 19:42:00,20.5
2025-03-14 19:36:59,20.39
2025-03-14 19:32:00,20.34
2025-03-14 19:27:00,20.45
2025-03-14 19:22:01,20.44
2025-03-14 19:17:00,20.45
2025-03-14 19:12:01,20.43
2025-03-14 19:06:55,20.4
2025-03-14 19:01:59,20.45
2025-03-14 18:57:00,20.45
2025-03-14 18:52:01,20.38
2025-03-14 18:47:01,20.43
2025-03-14 18:41:59,20.35
2025-03-14 18:37:00,20.37
2025-03-14 18:32:00,20.36
2025-03-14 18:27:00,20.28
2025-03-14 18:22:01,20.27
2025-03-14 18:17:00,20.4
2025-03-14 18:12:00,20.3
2025-03-14 18:07:00,20.33
2025-03-14 18:02:01,20.38
2025-03-14 17:57:01,20.27
2025-03-14 17:52:00,20.25
2025-03-14 17:46:57,20.31
2025-03-14 17:41:56,20.21
2025-03-14 17:36:56,20.11
2025-03-14 17:32:00,20.25
2025-03-14 17:27:01,20.14
2025-03-14 17:22:01,20.02
2025-03-14 17:17:00,19.9
2025-03-14 17:12:01,19.83
2025-03-14 17:07:00,20.08
