Tag name: Preben - Meeting Room 43/4 Temperature
Time, Value
2025-02-02 23:59:45,22.49
2025-02-02 23:54:46,22.48
2025-02-02 23:49:37,22.49
2025-02-02 23:44:46,22.49
2025-02-02 23:39:47,22.49
2025-02-02 23:34:43,22.49
2025-02-02 23:29:48,22.49
2025-02-02 23:24:38,22.49
2025-02-02 23:19:45,22.49
2025-02-02 23:14:43,22.49
2025-02-02 23:09:42,22.49
2025-02-02 23:04:46,22.49
2025-02-02 22:59:48,22.49
2025-02-02 22:54:44,22.49
2025-02-02 22:49:48,22.49
2025-02-02 22:44:46,22.48
2025-02-02 22:39:37,22.45
2025-02-02 22:34:41,22.49
2025-02-02 22:29:48,22.48
2025-02-02 22:24:39,22.48
2025-02-02 22:19:48,22.48
2025-02-02 22:14:46,22.48
2025-02-02 22:09:48,22.47
2025-02-02 22:04:30,22.47
2025-02-02 21:59:40,22.48
2025-02-02 21:54:47,22.47
2025-02-02 21:49:48,22.48
2025-02-02 21:44:33,22.48
2025-02-02 21:39:48,22.45
2025-02-02 21:34:47,22.5
2025-02-02 21:29:41,22.5
2025-02-02 21:24:26,22.51
2025-02-02 21:19:48,22.51
2025-02-02 21:14:44,22.51
2025-02-02 21:09:48,22.51
2025-02-02 21:04:48,22.51
2025-02-02 20:59:46,22.51
2025-02-02 20:54:47,22.51
2025-02-02 20:49:43,22.51
2025-02-02 20:44:42,22.5
2025-02-02 20:39:43,22.51
2025-02-02 20:34:45,22.51
2025-02-02 20:29:41,22.51
2025-02-02 20:24:42,22.51
2025-02-02 20:19:46,22.51
2025-02-02 20:14:47,22.52
2025-02-02 20:09:47,22.51
2025-02-02 20:04:48,22.51
2025-02-02 19:59:44,22.51
2025-02-02 19:54:48,22.51
2025-02-02 19:49:46,22.52
2025-02-02 19:44:32,22.51
2025-02-02 19:39:47,22.51
2025-02-02 19:34:40,22.51
2025-02-02 19:29:44,22.51
2025-02-02 19:24:45,22.54
2025-02-02 19:19:44,22.51
2025-02-02 19:14:48,22.51
2025-02-02 19:09:45,22.51
2025-02-02 19:04:46,22.51
2025-02-02 18:59:47,22.51
2025-02-02 18:54:35,22.51
2025-02-02 18:49:44,22.51
2025-02-02 18:44:49,22.51
2025-02-02 18:39:37,22.52
2025-02-02 18:34:41,22.51
2025-02-02 18:29:47,22.51
2025-02-02 18:24:38,22.51
2025-02-02 18:19:47,22.51
2025-02-02 18:14:49,22.52
