Tag name: Preben - Office 403 - Temperature
Time, Value
2025-02-12 23:55:36,23.07
2025-02-12 23:50:37,23.08
2025-02-12 23:45:37,23.08
2025-02-12 23:40:32,23.08
2025-02-12 23:35:34,23.09
2025-02-12 23:30:29,23.09
2025-02-12 23:25:37,23.09
2025-02-12 23:20:37,23.11
2025-02-12 23:15:36,23.11
2025-02-12 23:10:30,23.12
2025-02-12 23:05:33,23.13
2025-02-12 23:00:36,23.13
2025-02-12 22:55:36,23.13
2025-02-12 22:50:33,23.14
2025-02-12 22:45:37,23.13
2025-02-12 22:40:33,23.15
2025-02-12 22:35:37,23.15
2025-02-12 22:30:35,23.16
2025-02-12 22:25:37,23.17
2025-02-12 22:20:34,23.18
2025-02-12 22:15:35,23.19
2025-02-12 22:10:35,23.2
2025-02-12 22:05:35,23.21
2025-02-12 22:00:38,23.22
2025-02-12 21:55:32,23.22
2025-02-12 21:50:34,23.23
2025-02-12 21:45:37,23.24
2025-02-12 21:40:36,23.24
2025-02-12 21:35:35,23.25
2025-02-12 21:30:34,23.26
2025-02-12 21:25:36,23.27
2025-02-12 21:20:36,23.27
2025-02-12 21:15:37,23.28
2025-02-12 21:10:37,23.29
2025-02-12 21:05:37,23.3
2025-02-12 21:00:34,23.32
2025-02-12 20:55:36,23.33
2025-02-12 20:50:36,23.33
2025-02-12 20:45:33,23.33
2025-02-12 20:40:35,23.36
2025-02-12 20:35:36,23.37
2025-02-12 20:30:34,23.39
2025-02-12 20:25:37,23.39
2025-02-12 20:20:36,23.41
2025-02-12 20:15:37,23.43
2025-02-12 20:10:31,23.44
2025-02-12 20:05:36,23.45
2025-02-12 20:00:37,23.46
2025-02-12 19:55:37,23.48
2025-02-12 19:50:36,23.49
2025-02-12 19:45:37,23.51
2025-02-12 19:40:34,23.52
2025-02-12 19:35:35,23.54
2025-02-12 19:30:37,23.55
2025-02-12 19:25:26,23.57
2025-02-12 19:20:32,23.58
2025-02-12 19:15:37,23.6
2025-02-12 19:10:29,23.62
2025-02-12 19:05:37,23.62
2025-02-12 19:00:37,23.65
2025-02-12 18:55:38,23.67
2025-02-12 18:50:37,23.68
2025-02-12 18:45:33,23.7
2025-02-12 18:40:37,23.72
2025-02-12 18:35:37,23.74
2025-02-12 18:30:30,23.76
2025-02-12 18:25:38,23.78
2025-02-12 18:20:33,23.79
2025-02-12 18:15:36,23.82
2025-02-12 18:10:27,23.83
2025-02-12 18:05:35,23.85
2025-02-12 18:00:35,23.87
2025-02-12 17:55:33,23.9
2025-02-12 17:50:33,23.91
2025-02-12 17:45:31,23.93
2025-02-12 17:40:36,23.95
2025-02-12 17:35:24,23.97
2025-02-12 17:30:37,23.99
2025-02-12 17:25:33,24.01
2025-02-12 17:20:36,24.01
2025-02-12 17:15:31,24.03
2025-02-12 17:10:34,24.05
2025-02-12 17:05:37,24.06
2025-02-12 17:00:34,24.07
2025-02-12 16:55:33,24.09
2025-02-12 16:50:35,24.1
2025-02-12 16:45:37,24.11
2025-02-12 16:40:26,24.12
2025-02-12 16:35:32,24.15
2025-02-12 16:30:35,24.16
2025-02-12 16:25:35,24.18
2025-02-12 16:20:26,24.19
2025-02-12 16:15:36,24.2
2025-02-12 16:10:36,24.21
2025-02-12 16:05:36,24.2
2025-02-12 16:00:33,24.21
2025-02-12 15:55:34,24.21
2025-02-12 15:50:31,24.21
2025-02-12 15:45:24,24.21
2025-02-12 15:40:35,24.22
2025-02-12 15:35:36,24.23
2025-02-12 15:30:37,24.24
2025-02-12 15:25:37,24.26
2025-02-12 15:20:30,24.27
2025-02-12 15:15:31,24.28
2025-02-12 15:10:12,24.29
2025-02-12 15:05:31,24.31
2025-02-12 15:00:33,24.33
2025-02-12 14:55:26,24.34
2025-02-12 14:50:37,24.37
2025-02-12 14:45:33,24.39
2025-02-12 14:40:36,24.41
2025-02-12 14:35:34,24.42
2025-02-12 14:30:31,24.43
2025-02-12 14:25:32,24.43
2025-02-12 14:20:37,24.43
2025-02-12 14:15:30,24.43
2025-02-12 14:10:26,24.46
2025-02-12 14:05:35,24.52
2025-02-12 14:00:35,24.58
2025-02-12 13:55:35,24.75
2025-02-12 13:50:34,24.76
2025-02-12 13:45:37,24.46
2025-02-12 13:40:28,24.39
2025-02-12 13:35:26,24.21
2025-02-12 13:30:35,24.18
2025-02-12 13:25:37,24.08
2025-02-12 13:20:36,23.93
2025-02-12 13:15:30,23.77
2025-02-12 13:10:30,23.63
2025-02-12 13:05:36,23.62
2025-02-12 13:00:34,23.61
2025-02-12 12:55:37,23.59
2025-02-12 12:50:33,23.57
2025-02-12 12:45:34,23.58
2025-02-12 12:40:35,23.55
2025-02-12 12:35:34,23.55
2025-02-12 12:30:32,23.53
2025-02-12 12:25:35,23.53
2025-02-12 12:20:37,23.51
2025-02-12 12:15:36,23.5
2025-02-12 12:10:35,23.48
2025-02-12 12:05:34,23.46
2025-02-12 12:00:34,23.46
2025-02-12 11:55:32,23.45
2025-02-12 11:50:23,23.44
2025-02-12 11:45:35,23.41
2025-02-12 11:40:33,23.38
2025-02-12 11:35:31,23.35
2025-02-12 11:30:30,23.35
2025-02-12 11:25:37,23.34
2025-02-12 11:20:33,23.34
2025-02-12 11:15:37,23.32
2025-02-12 11:10:28,23.29
2025-02-12 11:05:36,23.27
2025-02-12 11:00:37,23.24
2025-02-12 10:55:34,23.23
2025-02-12 10:50:32,23.2
2025-02-12 10:45:37,23.23
2025-02-12 10:40:29,23.16
2025-02-12 10:35:30,23.15
2025-02-12 10:30:34,23.13
2025-02-12 10:25:31,23.12
2025-02-12 10:20:32,23.08
2025-02-12 10:15:35,23.05
2025-02-12 10:10:19,23.04
2025-02-12 10:05:27,23.02
2025-02-12 10:00:29,22.99
2025-02-12 09:55:37,22.99
2025-02-12 09:50:31,23
2025-02-12 09:45:35,22.97
