Tag name: Preben - Office 404 - Humidity
Time, Value
2025-03-15 23:56:13,23.83
2025-03-15 23:51:17,23.86
2025-03-15 23:46:29,23.85
2025-03-15 23:41:39,23.82
2025-03-15 23:31:12,23.82
2025-03-15 23:21:52,23.78
2025-03-15 23:16:45,23.72
2025-03-15 23:11:59,23.75
2025-03-15 23:05:00,23.67
2025-03-15 23:00:08,23.67
2025-03-15 22:56:44,23.61
2025-03-15 22:50:34,23.59
2025-03-15 22:46:35,23.55
2025-03-15 22:40:45,23.49
2025-03-15 22:35:15,23.43
2025-03-15 22:31:23,23.41
2025-03-15 22:24:40,23.35
2025-03-15 22:20:49,23.32
2025-03-15 22:17:00,23.31
2025-03-15 22:11:26,23.29
2025-03-15 22:05:45,23.25
2025-03-15 22:01:45,23.25
2025-03-15 21:56:35,23.2
2025-03-15 21:51:19,23.2
2025-03-15 21:46:20,23.16
2025-03-15 21:41:46,23.15
2025-03-15 21:36:55,23.14
2025-03-15 21:31:58,23.1
2025-03-15 21:26:39,23.08
2025-03-15 21:21:37,23.07
2025-03-15 21:17:00,23.02
2025-03-15 21:10:47,23.01
2025-03-15 21:06:52,22.97
2025-03-15 21:01:48,22.99
2025-03-15 20:56:39,22.95
2025-03-15 20:51:58,22.9
2025-03-15 20:46:50,22.89
2025-03-15 20:40:50,22.81
2025-03-15 20:36:15,22.84
2025-03-15 20:31:54,22.79
2025-03-15 20:26:05,22.73
2025-03-15 20:21:45,22.72
2025-03-15 20:16:28,22.66
2025-03-15 20:11:59,22.67
2025-03-15 20:06:30,22.63
2025-03-15 20:01:55,22.6
2025-03-15 19:56:10,22.46
2025-03-15 19:51:25,22.51
2025-03-15 19:46:12,22.45
2025-03-15 19:40:21,22.42
2025-03-15 19:36:34,22.41
2025-03-15 19:31:06,22.35
2025-03-15 19:26:38,22.34
2025-03-15 19:21:26,22.32
2025-03-15 19:14:49,22.29
2025-03-15 19:11:07,22.26
2025-03-15 19:06:56,22.25
2025-03-15 19:00:59,22.22
2025-03-15 18:56:01,22.22
2025-03-15 18:51:02,22.21
2025-03-15 18:46:33,22.18
2025-03-15 18:41:36,22.15
2025-03-15 18:35:39,22.18
2025-03-15 18:30:59,22.16
2025-03-15 18:27:00,22.13
2025-03-15 18:21:21,22.14
2025-03-15 18:16:43,22.09
2025-03-15 18:10:16,22.08
2025-03-15 18:05:45,22.09
2025-03-15 18:01:53,22.02
2025-03-15 17:56:22,22.03
2025-03-15 17:51:05,21.94
2025-03-15 17:46:53,21.94
2025-03-15 17:42:01,21.93
2025-03-15 17:36:55,21.89
2025-03-15 17:31:42,21.87
2025-03-15 17:26:41,21.82
2025-03-15 17:20:46,21.8
2025-03-15 17:14:30,21.75
2025-03-15 17:10:19,21.72
2025-03-15 17:06:39,21.67
2025-03-15 17:01:29,21.66
2025-03-15 16:56:33,21.58
2025-03-15 16:51:13,21.57
2025-03-15 16:45:08,21.51
2025-03-15 16:41:17,21.49
2025-03-15 16:36:02,21.49
2025-03-15 16:31:46,21.44
2025-03-15 16:26:18,21.43
2025-03-15 16:21:22,21.33
2025-03-15 16:16:07,21.35
2025-03-15 16:11:54,21.29
2025-03-15 16:06:40,21.24
2025-03-15 16:01:12,21.22
2025-03-15 15:56:57,21.18
2025-03-15 15:50:24,21.13
2025-03-15 15:46:01,21.1
2025-03-15 15:41:02,21.04
2025-03-15 15:36:53,21.03
2025-03-15 15:31:55,20.99
2025-03-15 15:24:50,20.94
2025-03-15 15:21:57,20.92
2025-03-15 15:15:56,20.86
2025-03-15 15:11:52,20.85
2025-03-15 15:06:37,20.84
2025-03-15 14:59:03,20.8
2025-03-15 14:54:44,20.79
2025-03-15 14:46:51,20.75
2025-03-15 14:41:25,20.72
2025-03-15 14:34:23,20.7
2025-03-15 14:31:55,20.66
2025-03-15 14:25:23,20.62
2025-03-15 14:19:54,20.62
2025-03-15 14:14:23,20.59
2025-03-15 14:07:22,20.61
2025-03-15 14:04:02,20.57
2025-03-15 14:00:56,20.56
2025-03-15 13:56:08,20.57
2025-03-15 13:51:04,20.56
2025-03-15 13:46:52,20.58
2025-03-15 13:41:32,20.57
