Tag name: Preben - Office 404 - Temperature
Time, Value
2025-03-15 23:56:13,20.38
2025-03-15 23:51:17,20.42
2025-03-15 23:46:29,20.38
2025-03-15 23:41:39,20.38
2025-03-15 23:31:12,20.38
2025-03-15 23:26:22,20.38
2025-03-15 23:21:52,20.39
2025-03-15 23:16:45,20.39
2025-03-15 23:11:59,20.39
2025-03-15 23:00:08,20.39
2025-03-15 22:56:44,20.39
2025-03-15 22:50:34,20.4
2025-03-15 22:46:35,20.4
2025-03-15 22:40:45,20.41
2025-03-15 22:35:15,20.41
2025-03-15 22:31:23,20.42
2025-03-15 22:24:40,20.43
2025-03-15 22:20:49,20.43
2025-03-15 22:17:00,20.44
2025-03-15 22:11:26,20.44
2025-03-15 22:05:45,20.44
2025-03-15 22:01:45,20.45
2025-03-15 21:56:35,20.45
2025-03-15 21:51:19,20.45
2025-03-15 21:46:20,20.46
2025-03-15 21:41:46,20.46
2025-03-15 21:36:55,20.46
2025-03-15 21:31:58,20.47
2025-03-15 21:26:39,20.48
2025-03-15 21:21:37,20.48
2025-03-15 21:17:00,20.48
2025-03-15 21:10:47,20.5
2025-03-15 21:06:52,20.5
2025-03-15 21:01:48,20.51
2025-03-15 20:56:39,20.51
2025-03-15 20:51:58,20.52
2025-03-15 20:46:50,20.52
2025-03-15 20:40:50,20.53
2025-03-15 20:36:15,20.54
2025-03-15 20:31:54,20.54
2025-03-15 20:26:05,20.54
2025-03-15 20:21:45,20.55
2025-03-15 20:16:28,20.56
2025-03-15 20:11:59,20.56
2025-03-15 20:06:30,20.57
2025-03-15 20:01:55,20.58
2025-03-15 19:51:25,20.59
2025-03-15 19:46:12,20.59
2025-03-15 19:40:21,20.6
2025-03-15 19:36:34,20.61
2025-03-15 19:31:06,20.61
2025-03-15 19:26:38,20.62
2025-03-15 19:21:26,20.62
2025-03-15 19:14:49,20.64
2025-03-15 19:11:07,20.63
2025-03-15 19:06:56,20.63
2025-03-15 19:00:59,20.64
2025-03-15 18:56:01,20.66
2025-03-15 18:51:02,20.65
2025-03-15 18:46:33,20.66
2025-03-15 18:41:36,20.66
2025-03-15 18:35:39,20.68
2025-03-15 18:30:59,20.68
2025-03-15 18:27:00,20.68
2025-03-15 18:21:21,20.69
2025-03-15 18:16:43,20.7
2025-03-15 18:10:16,20.71
2025-03-15 18:05:45,20.72
2025-03-15 18:01:53,20.73
2025-03-15 17:56:22,20.73
2025-03-15 17:51:05,20.73
2025-03-15 17:46:53,20.74
2025-03-15 17:42:01,20.75
2025-03-15 17:36:55,20.75
2025-03-15 17:31:42,20.76
2025-03-15 17:26:41,20.77
2025-03-15 17:20:46,20.77
2025-03-15 17:14:30,20.77
2025-03-15 17:10:19,20.77
2025-03-15 17:06:39,20.77
2025-03-15 17:01:29,20.78
2025-03-15 16:56:33,20.79
2025-03-15 16:51:13,20.8
2025-03-15 16:45:08,20.8
2025-03-15 16:41:17,20.81
2025-03-15 16:36:02,20.81
2025-03-15 16:31:46,20.82
2025-03-15 16:26:18,20.86
2025-03-15 16:21:22,20.83
2025-03-15 16:16:07,20.84
2025-03-15 16:11:54,20.84
2025-03-15 16:06:40,20.85
2025-03-15 16:01:12,20.86
2025-03-15 15:56:57,20.86
2025-03-15 15:50:24,20.86
2025-03-15 15:46:01,20.86
