Tag name: Preben - Office 407 - Humidity
Time, Value
2025-02-12 23:55:36,20.22
2025-02-12 23:50:38,20.17
2025-02-12 23:45:35,20.17
2025-02-12 23:40:37,20.11
2025-02-12 23:35:37,20.11
2025-02-12 23:30:36,20.13
2025-02-12 23:25:36,20.09
2025-02-12 23:20:37,20.07
2025-02-12 23:15:36,20.01
2025-02-12 23:10:37,19.98
2025-02-12 23:05:37,19.96
2025-02-12 23:00:37,19.92
2025-02-12 22:55:37,19.9
2025-02-12 22:50:37,19.88
2025-02-12 22:45:33,19.84
2025-02-12 22:40:37,19.81
2025-02-12 22:35:37,19.8
2025-02-12 22:30:37,19.77
2025-02-12 22:25:38,19.69
2025-02-12 22:20:37,19.7
2025-02-12 22:15:36,19.78
2025-02-12 22:10:35,19.76
2025-02-12 22:05:37,19.63
2025-02-12 22:00:37,19.64
2025-02-12 21:55:36,19.59
2025-02-12 21:50:36,19.59
2025-02-12 21:45:37,19.56
2025-02-12 21:40:37,19.55
2025-02-12 21:35:37,19.57
2025-02-12 21:30:37,19.59
2025-02-12 21:25:36,19.55
2025-02-12 21:20:36,19.51
2025-02-12 21:15:36,19.53
2025-02-12 21:10:38,19.55
2025-02-12 21:05:37,19.55
2025-02-12 21:00:36,19.59
2025-02-12 20:55:36,19.55
2025-02-12 20:50:36,19.6
2025-02-12 20:45:37,19.58
2025-02-12 20:40:37,19.56
2025-02-12 20:35:37,19.52
2025-02-12 20:30:36,19.51
2025-02-12 20:25:37,19.54
2025-02-12 20:20:37,19.57
2025-02-12 20:15:36,19.57
2025-02-12 20:10:37,19.58
2025-02-12 20:05:37,19.57
2025-02-12 20:00:36,19.6
2025-02-12 19:55:37,19.59
2025-02-12 19:50:37,19.57
2025-02-12 19:45:36,19.6
2025-02-12 19:40:36,19.64
2025-02-12 19:35:37,19.66
2025-02-12 19:30:35,19.63
2025-02-12 19:25:37,19.66
2025-02-12 19:20:36,19.63
2025-02-12 19:15:37,19.67
2025-02-12 19:10:37,19.71
2025-02-12 19:05:37,19.69
2025-02-12 19:00:37,19.87
2025-02-12 18:55:36,19.74
2025-02-12 18:50:37,19.72
2025-02-12 18:45:37,19.77
2025-02-12 18:40:36,19.77
2025-02-12 18:35:37,19.77
2025-02-12 18:30:34,19.79
2025-02-12 18:25:35,19.84
2025-02-12 18:20:37,20
2025-02-12 18:15:37,19.88
2025-02-12 18:10:37,19.87
2025-02-12 18:05:37,19.97
2025-02-12 18:00:36,20.02
2025-02-12 17:55:36,19.93
2025-02-12 17:50:36,20.14
2025-02-12 17:45:37,20.05
2025-02-12 17:40:36,20.05
2025-02-12 17:35:35,20.17
2025-02-12 17:30:35,20.17
2025-02-12 17:25:32,20.22
2025-02-12 17:20:37,20.35
2025-02-12 17:15:33,20.43
2025-02-12 17:10:35,20.39
2025-02-12 17:05:36,20.6
2025-02-12 17:00:35,20.57
2025-02-12 16:55:37,20.57
2025-02-12 16:50:37,20.41
2025-02-12 16:45:37,20.61
2025-02-12 16:40:37,20.5
2025-02-12 16:35:35,20.52
2025-02-12 16:30:37,20.67
2025-02-12 16:25:37,20.63
2025-02-12 16:20:37,20.62
2025-02-12 16:15:37,20.64
2025-02-12 16:10:36,20.63
2025-02-12 16:05:36,20.44
2025-02-12 16:00:37,20.44
2025-02-12 15:55:35,20.55
2025-02-12 15:50:37,20.55
2025-02-12 15:45:35,20.52
2025-02-12 15:40:36,20.53
2025-02-12 15:35:37,20.81
2025-02-12 15:30:37,20.82
2025-02-12 15:25:37,20.84
2025-02-12 15:20:34,20.92
2025-02-12 15:15:37,20.95
2025-02-12 15:10:36,21
2025-02-12 15:05:36,21.04
2025-02-12 15:00:36,21.07
2025-02-12 14:55:37,21.15
2025-02-12 14:50:37,21.24
2025-02-12 14:45:35,21.3
2025-02-12 14:40:36,21.39
2025-02-12 14:35:37,21.37
2025-02-12 14:30:37,21.46
2025-02-12 14:25:35,21.52
2025-02-12 14:20:37,21.34
2025-02-12 14:15:37,21.35
2025-02-12 14:10:34,21.06
2025-02-12 14:05:35,20.91
2025-02-12 14:00:38,20.87
2025-02-12 13:55:37,20.9
2025-02-12 13:50:37,21
2025-02-12 13:45:35,21.01
2025-02-12 13:40:36,21.08
2025-02-12 13:35:37,21.24
2025-02-12 13:30:35,21.78
2025-02-12 13:25:37,21.84
2025-02-12 13:20:36,22.44
2025-02-12 13:15:38,21.61
2025-02-12 13:10:36,20.78
2025-02-12 13:05:37,20.96
2025-02-12 13:00:36,20.71
2025-02-12 12:55:37,20.48
2025-02-12 12:50:37,20.15
2025-02-12 12:45:38,20.13
2025-02-12 12:40:37,20.07
2025-02-12 12:35:38,20.1
2025-02-12 12:30:37,20.17
2025-02-12 12:25:36,20.17
2025-02-12 12:20:37,20.11
2025-02-12 12:15:36,20.2
2025-02-12 12:10:37,20.28
2025-02-12 12:05:36,20.47
2025-02-12 12:00:37,20.63
2025-02-12 11:55:36,21.05
2025-02-12 11:50:37,21.2
2025-02-12 11:45:37,21.12
2025-02-12 11:40:36,21.28
2025-02-12 11:35:37,21.2
2025-02-12 11:30:35,21.09
2025-02-12 11:25:38,21.48
2025-02-12 11:20:29,21.37
2025-02-12 11:15:37,21.31
2025-02-12 11:10:37,21.33
2025-02-12 11:05:37,21.61
2025-02-12 11:00:35,21.98
2025-02-12 10:55:37,22.23
2025-02-12 10:50:36,21.97
2025-02-12 10:45:35,21.41
2025-02-12 10:40:33,21.23
2025-02-12 10:35:37,20.71
2025-02-12 10:30:36,21.06
2025-02-12 10:25:37,21.57
2025-02-12 10:20:36,21.14
2025-02-12 10:15:35,20.7
2025-02-12 10:10:37,20.78
2025-02-12 10:05:37,20.61
2025-02-12 10:00:36,20.39
2025-02-12 09:55:36,19.86
2025-02-12 09:50:37,19.46
2025-02-12 09:45:37,19.42
2025-02-12 09:40:36,19.31
2025-02-12 09:35:36,19.44
2025-02-12 09:30:37,19.41
2025-02-12 09:25:37,19.73
2025-02-12 09:20:36,20.07
2025-02-12 09:15:35,20.52
2025-02-12 09:10:37,20.55
2025-02-12 09:05:36,20.34
2025-02-12 09:00:37,20.39
2025-02-12 08:55:36,20.24
2025-02-12 08:50:37,20.89
2025-02-12 08:45:37,19.78
2025-02-12 08:40:36,19.13
2025-02-12 08:35:37,18.8
2025-02-12 08:30:35,18.49
2025-02-12 08:25:38,18.49
2025-02-12 08:20:37,18.34
2025-02-12 08:15:36,18.33
2025-02-12 08:10:35,18.52
2025-02-12 08:05:37,18.32
2025-02-12 08:00:36,18.29
2025-02-12 07:55:37,18.34
2025-02-12 07:50:37,18.24
2025-02-12 07:45:37,18.13
2025-02-12 07:40:37,18.35
2025-02-12 07:35:38,18.24
2025-02-12 07:30:32,18.15
2025-02-12 07:25:36,18.26
2025-02-12 07:20:36,18.35
2025-02-12 07:15:36,18.29
2025-02-12 07:10:36,18.53
2025-02-12 07:05:35,18.65
2025-02-12 07:00:37,18.47
2025-02-12 06:55:37,18.53
2025-02-12 06:50:37,18.76
2025-02-12 06:45:34,18.76
2025-02-12 06:40:36,18.83
2025-02-12 06:35:35,18.73
2025-02-12 06:30:37,18.81
2025-02-12 06:25:37,18.81
2025-02-12 06:20:37,18.81
2025-02-12 06:15:37,18.84
2025-02-12 06:10:36,18.87
2025-02-12 06:05:37,18.89
