Tag name: Preben - Office 405 - Temperature
Time, Value
2025-02-12 23:55:37,21.9
2025-02-12 23:50:35,21.89
2025-02-12 23:45:27,21.9
2025-02-12 23:40:33,21.9
2025-02-12 23:35:30,21.91
2025-02-12 23:30:31,21.9
2025-02-12 23:25:34,21.92
2025-02-12 23:20:35,21.92
2025-02-12 23:15:37,21.93
2025-02-12 23:10:33,21.93
2025-02-12 23:05:35,21.94
2025-02-12 23:00:36,21.94
2025-02-12 22:55:33,21.94
2025-02-12 22:50:18,21.95
2025-02-12 22:45:31,21.94
2025-02-12 22:40:33,21.95
2025-02-12 22:35:35,21.97
2025-02-12 22:30:33,21.96
2025-02-12 22:25:21,21.97
2025-02-12 22:20:29,21.97
2025-02-12 22:15:33,21.98
2025-02-12 22:10:35,21.99
2025-02-12 22:05:36,22.01
2025-02-12 22:00:30,22.01
2025-02-12 21:55:37,22.01
2025-02-12 21:50:31,22.02
2025-02-12 21:45:27,22.02
2025-02-12 21:40:29,22.03
2025-02-12 21:35:25,22.04
2025-02-12 21:30:33,22.04
2025-02-12 21:25:31,22.05
2025-02-12 21:20:22,22.06
2025-02-12 21:15:37,22.06
2025-02-12 21:10:33,22.08
2025-02-12 21:05:30,22.08
2025-02-12 21:00:34,22.09
2025-02-12 20:55:36,22.1
2025-02-12 20:50:27,22.11
2025-02-12 20:45:34,22.12
2025-02-12 20:40:36,22.12
2025-02-12 20:35:22,22.14
2025-02-12 20:30:28,22.14
2025-02-12 20:25:28,22.16
2025-02-12 20:20:37,22.16
2025-02-12 20:15:37,22.18
2025-02-12 20:10:35,22.19
2025-02-12 20:05:31,22.2
2025-02-12 20:00:36,22.21
2025-02-12 19:55:35,22.22
2025-02-12 19:50:34,22.23
2025-02-12 19:45:35,22.25
2025-02-12 19:40:32,22.26
2025-02-12 19:35:31,22.27
2025-02-12 19:30:33,22.27
2025-02-12 19:25:29,22.3
2025-02-12 19:20:31,22.31
2025-02-12 19:15:35,22.32
2025-02-12 19:10:32,22.33
2025-02-12 19:05:36,22.35
2025-02-12 19:00:21,22.36
2025-02-12 18:55:37,22.38
2025-02-12 18:50:22,22.4
2025-02-12 18:45:32,22.4
2025-02-12 18:40:36,22.42
2025-02-12 18:35:33,22.43
2025-02-12 18:30:34,22.45
2025-02-12 18:25:36,22.47
2025-02-12 18:20:29,22.49
2025-02-12 18:15:37,22.5
2025-02-12 18:10:33,22.52
2025-02-12 18:05:24,22.54
2025-02-12 18:00:34,22.56
2025-02-12 17:55:33,22.58
2025-02-12 17:50:37,22.6
2025-02-12 17:45:26,22.63
2025-02-12 17:40:35,22.64
2025-02-12 17:35:37,22.66
2025-02-12 17:30:33,22.7
2025-02-12 17:25:16,22.71
2025-02-12 17:20:31,22.72
2025-02-12 17:15:35,22.73
2025-02-12 17:10:35,22.75
2025-02-12 17:05:04,22.76
2025-02-12 17:00:36,22.76
2025-02-12 16:55:34,22.77
2025-02-12 16:50:34,22.8
2025-02-12 16:45:32,22.79
2025-02-12 16:40:32,22.81
2025-02-12 16:35:36,22.84
2025-02-12 16:30:10,22.86
2025-02-12 16:25:31,22.88
2025-02-12 16:20:36,22.9
2025-02-12 16:15:35,22.9
2025-02-12 16:10:37,22.92
2025-02-12 16:05:27,22.93
2025-02-12 16:00:31,22.93
2025-02-12 15:55:36,22.93
2025-02-12 15:50:35,22.93
2025-02-12 15:45:34,22.93
2025-02-12 15:40:33,22.96
2025-02-12 15:35:35,22.97
2025-02-12 15:30:20,22.99
2025-02-12 15:25:30,23
2025-02-12 15:20:16,23.01
2025-02-12 15:15:34,23.01
2025-02-12 15:10:08,23.03
2025-02-12 15:05:37,23.04
2025-02-12 15:00:15,23.04
2025-02-12 14:55:13,23.05
2025-02-12 14:50:31,23.06
2025-02-12 14:45:25,23.05
2025-02-12 14:39:51,23.06
2025-02-12 14:35:23,23.07
2025-02-12 14:28:42,23.06
2025-02-12 14:25:15,23.05
2025-02-12 14:19:47,23.04
2025-02-12 14:15:07,23.01
2025-02-12 14:10:37,23
2025-02-12 14:05:01,23.01
2025-02-12 13:59:59,23.01
2025-02-12 13:54:45,23.01
2025-02-12 13:50:33,23
2025-02-12 13:45:16,23
2025-02-12 13:40:22,23
2025-02-12 13:34:38,23.03
2025-02-12 13:30:18,22.99
2025-02-12 13:25:12,22.98
2025-02-12 13:20:05,22.95
2025-02-12 13:15:26,22.92
2025-02-12 13:09:53,22.91
2025-02-12 13:05:32,22.92
2025-02-12 12:59:53,22.91
2025-02-12 12:55:36,22.9
2025-02-12 12:50:34,22.89
2025-02-12 12:45:26,22.88
2025-02-12 12:40:24,22.87
2025-02-12 12:35:37,22.86
2025-02-12 12:30:33,22.85
2025-02-12 12:25:21,22.84
2025-02-12 12:20:23,22.82
2025-02-12 12:14:58,22.77
