SensorName,Time,Value
Preben - Canteen Humidity,2025-02-24 23:55:48,30.63
Preben - Canteen Humidity,2025-02-24 23:50:49,30.78
Preben - Canteen Humidity,2025-02-24 23:45:48,30.79
Preben - Canteen Humidity,2025-02-24 23:40:49,30.79
Preben - Canteen Humidity,2025-02-24 23:35:48,30.79
Preben - Canteen Humidity,2025-02-24 23:30:48,30.96
Preben - Canteen Humidity,2025-02-24 23:25:49,30.93
Preben - Canteen Humidity,2025-02-24 23:20:48,30.94
Preben - Canteen Humidity,2025-02-24 23:15:48,30.92
Preben - Canteen Humidity,2025-02-24 23:05:48,30.95
Preben - Canteen Humidity,2025-02-24 23:00:49,30.97
Preben - Canteen Humidity,2025-02-24 22:55:48,31.04
Preben - Canteen Humidity,2025-02-24 22:50:49,31.15
Preben - Canteen Humidity,2025-02-24 22:45:48,31.17
Preben - Canteen Humidity,2025-02-24 22:40:46,31.12
Preben - Canteen Humidity,2025-02-24 22:35:48,31.36
Preben - Canteen Humidity,2025-02-24 22:30:46,31.36
Preben - Canteen Humidity,2025-02-24 22:25:49,31.38
Preben - Canteen Humidity,2025-02-24 22:20:48,31.42
Preben - Canteen Humidity,2025-02-24 22:15:49,31.58
Preben - Canteen Humidity,2025-02-24 22:10:48,31.59
Preben - Canteen Humidity,2025-02-24 22:05:48,31.66
Preben - Canteen Humidity,2025-02-24 22:00:48,31.6
Preben - Canteen Humidity,2025-02-24 21:55:48,31.67
Preben - Canteen Humidity,2025-02-24 21:50:49,31.67
Preben - Canteen Humidity,2025-02-24 21:45:48,31.65
Preben - Canteen Humidity,2025-02-24 21:40:48,31.54
Preben - Canteen Humidity,2025-02-24 21:35:48,31.44
Preben - Canteen Humidity,2025-02-24 21:30:48,31.41
Preben - Canteen Humidity,2025-02-24 21:25:47,31.42
Preben - Canteen Humidity,2025-02-24 21:20:48,31.5
Preben - Canteen Humidity,2025-02-24 21:15:49,31.55
Preben - Canteen Humidity,2025-02-24 21:10:48,31.59
Preben - Canteen Humidity,2025-02-24 21:05:46,31.58
Preben - Canteen Humidity,2025-02-24 21:00:49,31.62
Preben - Canteen Humidity,2025-02-24 20:55:48,31.87
Preben - Canteen Humidity,2025-02-24 20:50:48,31.91
Preben - Canteen Humidity,2025-02-24 20:45:48,31.93
Preben - Canteen Humidity,2025-02-24 20:40:48,31.88
Preben - Canteen Humidity,2025-02-24 20:35:48,31.93
Preben - Canteen Humidity,2025-02-24 20:30:48,31.94
Preben - Canteen Humidity,2025-02-24 20:25:49,31.88
Preben - Canteen Humidity,2025-02-24 20:20:48,32.02
Preben - Canteen Humidity,2025-02-24 20:15:48,32.11
Preben - Canteen Humidity,2025-02-24 20:10:48,32.11
Preben - Canteen Humidity,2025-02-24 20:05:47,32.15
Preben - Canteen Humidity,2025-02-24 20:00:49,32.12
Preben - Canteen Humidity,2025-02-24 19:55:48,32.11
Preben - Canteen Humidity,2025-02-24 19:50:49,32.15
Preben - Canteen Humidity,2025-02-24 19:45:48,32.18
Preben - Canteen Humidity,2025-02-24 19:40:47,32.37
Preben - Canteen Humidity,2025-02-24 19:35:48,32.42
Preben - Canteen Humidity,2025-02-24 19:30:48,32.45
Preben - Canteen Humidity,2025-02-24 19:25:49,32.38
Preben - Canteen Humidity,2025-02-24 19:20:48,32.31
Preben - Canteen Humidity,2025-02-24 19:15:48,32.3
Preben - Canteen Humidity,2025-02-24 19:10:48,32.34
Preben - Canteen Humidity,2025-02-24 19:05:48,32.22
Preben - Canteen Humidity,2025-02-24 19:00:48,32.29
Preben - Canteen Humidity,2025-02-24 18:55:48,32.29
Preben - Canteen Humidity,2025-02-24 18:50:48,32.34
Preben - Canteen Humidity,2025-02-24 18:45:45,32.38
Preben - Canteen Humidity,2025-02-24 18:40:48,32.19
Preben - Canteen Humidity,2025-02-24 18:35:47,32.46
Preben - Canteen Humidity,2025-02-24 18:30:49,32.37
