SensorName,Time,Value
Preben - Canteen Humidity,2025-02-27 23:55:49,26.31
Preben - Canteen Humidity,2025-02-27 23:50:47,26.29
Preben - Canteen Humidity,2025-02-27 23:45:49,26.25
Preben - Canteen Humidity,2025-02-27 23:40:48,26.23
Preben - Canteen Humidity,2025-02-27 23:35:48,26.36
Preben - Canteen Humidity,2025-02-27 23:30:47,26.31
Preben - Canteen Humidity,2025-02-27 23:25:49,26.28
Preben - Canteen Humidity,2025-02-27 23:20:49,26.27
Preben - Canteen Humidity,2025-02-27 23:15:47,26.45
Preben - Canteen Humidity,2025-02-27 23:10:49,26.47
Preben - Canteen Humidity,2025-02-27 23:05:47,26.42
Preben - Canteen Humidity,2025-02-27 23:00:49,26.45
Preben - Canteen Humidity,2025-02-27 22:55:48,26.59
Preben - Canteen Humidity,2025-02-27 22:50:47,26.58
Preben - Canteen Humidity,2025-02-27 22:45:48,26.55
Preben - Canteen Humidity,2025-02-27 22:40:48,26.66
Preben - Canteen Humidity,2025-02-27 22:35:48,26.66
Preben - Canteen Humidity,2025-02-27 22:30:48,26.63
Preben - Canteen Humidity,2025-02-27 22:25:49,26.58
Preben - Canteen Humidity,2025-02-27 22:20:49,26.61
Preben - Canteen Humidity,2025-02-27 22:15:47,26.59
Preben - Canteen Humidity,2025-02-27 22:10:49,26.59
Preben - Canteen Humidity,2025-02-27 22:05:47,26.63
Preben - Canteen Humidity,2025-02-27 22:00:49,26.62
Preben - Canteen Humidity,2025-02-27 21:55:48,26.56
Preben - Canteen Humidity,2025-02-27 21:50:48,26.7
Preben - Canteen Humidity,2025-02-27 21:45:49,26.77
Preben - Canteen Humidity,2025-02-27 21:40:47,26.71
Preben - Canteen Humidity,2025-02-27 21:35:49,26.64
Preben - Canteen Humidity,2025-02-27 21:30:49,26.86
Preben - Canteen Humidity,2025-02-27 21:25:49,26.89
Preben - Canteen Humidity,2025-02-27 21:20:49,26.79
Preben - Canteen Humidity,2025-02-27 21:15:48,26.78
Preben - Canteen Humidity,2025-02-27 21:10:49,26.85
Preben - Canteen Humidity,2025-02-27 21:05:50,26.82
Preben - Canteen Humidity,2025-02-27 21:00:46,26.82
Preben - Canteen Humidity,2025-02-27 20:55:47,26.9
Preben - Canteen Humidity,2025-02-27 20:50:48,26.88
Preben - Canteen Humidity,2025-02-27 20:45:48,26.84
