Tag name: Preben - Office 404 - Humidity
Time, Value
2025-02-04 19:43:38,29.5
2025-02-04 19:39:47,29.48
2025-02-04 19:34:35,29.41
2025-02-04 19:29:32,29.51
2025-02-04 19:15:32,29.46
2025-02-04 19:12:24,29.43
2025-02-04 18:56:34,29.47
2025-02-04 18:35:05,29.48
2025-02-04 18:34:42,29.48
2025-02-04 18:17:33,29.55
2025-02-04 17:51:06,29.85
2025-02-04 17:48:55,29.86
2025-02-04 17:44:33,29.99
2025-02-04 17:29:30,30.78
2025-02-04 17:24:42,31.04
2025-02-04 17:13:49,31.72
2025-02-04 17:09:35,32.56
2025-02-04 17:04:50,33.29
2025-02-04 16:59:49,33.2
2025-02-04 16:54:50,33.26
2025-02-04 16:49:50,33.32
2025-02-04 16:44:50,33.4
2025-02-04 16:39:51,33.4
2025-02-04 16:34:51,33.35
2025-02-04 16:29:51,33.37
2025-02-04 16:24:48,33.4
2025-02-04 16:19:49,33.42
2025-02-04 16:14:51,33.55
2025-02-04 16:09:47,33.44
2025-02-04 16:04:51,33.29
2025-02-04 15:59:51,33.45
2025-02-04 15:54:45,33.5
2025-02-04 15:49:49,33.61
2025-02-04 15:44:51,33.62
2025-02-04 15:39:50,33.69
2025-02-04 15:34:48,33.64
2025-02-04 15:29:50,33.42
2025-02-04 15:24:51,33.68
2025-02-04 15:19:49,33.76
2025-02-04 15:14:51,33.74
2025-02-04 15:09:48,33.79
2025-02-04 15:04:51,33.92
2025-02-04 14:59:49,33.64
2025-02-04 14:54:46,33.74
2025-02-04 14:49:50,33.87
2025-02-04 14:44:47,33.75
2025-02-04 14:39:48,33.69
2025-02-04 14:34:51,33.89
2025-02-04 14:29:51,33.93
2025-02-04 14:24:48,33.72
2025-02-04 14:19:50,33.79
2025-02-04 14:14:45,33.74
2025-02-04 14:09:48,33.6
2025-02-04 14:04:49,33.6
2025-02-04 13:59:44,33.51
2025-02-04 13:54:51,33.77
2025-02-04 13:49:50,33.53
2025-02-04 13:44:50,33.61
2025-02-04 13:39:48,33.6
2025-02-04 13:34:50,33.8
2025-02-04 13:29:51,34.04
2025-02-04 13:24:48,33.68
2025-02-04 13:19:51,33.52
2025-02-04 13:14:45,33.67
2025-02-04 13:09:51,33.32
2025-02-04 13:04:50,33.34
2025-02-04 12:59:51,33.1
2025-02-04 12:54:50,32.95
2025-02-04 12:49:46,32.86
2025-02-04 12:44:45,32.71
2025-02-04 12:39:50,32.6
2025-02-04 12:34:50,32.68
2025-02-04 12:29:46,32.71
2025-02-04 12:24:48,32.76
2025-02-04 12:19:51,32.69
2025-02-04 12:14:51,32.92
2025-02-04 12:09:49,33.1
2025-02-04 12:04:51,33.38
2025-02-04 11:59:51,33.07
2025-02-04 11:54:50,33.09
2025-02-04 11:49:50,33.07
2025-02-04 11:44:51,33.17
2025-02-04 11:39:51,33.18
2025-02-04 11:34:45,33.31
2025-02-04 11:29:47,33.13
2025-02-04 11:24:50,32.99
2025-02-04 11:19:50,32.68
2025-02-04 11:14:50,32.59
2025-02-04 11:09:50,32.56
2025-02-04 11:04:43,32.55
2025-02-04 10:59:50,32.56
2025-02-04 10:54:49,32.52
2025-02-04 10:49:46,32.43
2025-02-04 10:44:49,32.47
2025-02-04 10:39:45,32.34
2025-02-04 10:34:46,32.33
2025-02-04 10:29:50,32.4
2025-02-04 10:24:51,32.5
2025-02-04 10:19:48,32.52
2025-02-04 10:14:47,32.46
2025-02-04 10:09:51,32.5
2025-02-04 10:04:46,32.45
2025-02-04 09:59:50,32.5
2025-02-04 09:54:49,32.19
