Tag name: Preben - Canteen Humidity
Time, Value
2025-02-01 23:59:48,20.58
2025-02-01 23:54:48,20.58
2025-02-01 23:49:47,20.59
2025-02-01 23:44:48,20.55
2025-02-01 23:39:47,20.53
2025-02-01 23:34:48,20.54
2025-02-01 23:29:49,20.52
2025-02-01 23:24:46,20.48
2025-02-01 23:19:48,20.43
2025-02-01 23:14:48,20.41
2025-02-01 23:09:48,20.39
2025-02-01 23:04:48,20.36
2025-02-01 22:59:48,20.28
2025-02-01 22:54:48,19.99
2025-02-01 22:49:48,20.16
2025-02-01 22:44:48,20.56
2025-02-01 22:39:49,20.56
2025-02-01 22:34:47,20.58
2025-02-01 22:29:47,20.6
2025-02-01 22:24:48,20.61
2025-02-01 22:19:48,20.56
2025-02-01 22:14:47,20.61
2025-02-01 22:09:47,20.59
2025-02-01 22:04:48,20.59
2025-02-01 21:59:46,20.6
2025-02-01 21:54:48,20.6
2025-02-01 21:49:48,20.66
2025-02-01 21:44:48,20.71
2025-02-01 21:39:47,20.76
2025-02-01 21:34:47,20.76
2025-02-01 21:29:48,20.77
2025-02-01 21:24:48,20.81
2025-02-01 21:19:47,20.8
2025-02-01 21:14:48,20.81
2025-02-01 21:09:48,20.81
2025-02-01 21:04:48,20.82
2025-02-01 20:59:47,20.84
2025-02-01 20:54:48,20.82
2025-02-01 20:49:48,20.85
2025-02-01 20:44:48,20.87
2025-02-01 20:39:48,20.9
2025-02-01 20:34:48,20.9
2025-02-01 20:29:48,20.97
2025-02-01 20:24:48,21.01
2025-02-01 20:19:48,21
2025-02-01 20:14:49,21.02
2025-02-01 20:09:46,21.01
2025-02-01 20:04:48,20.97
2025-02-01 19:59:48,21.01
2025-02-01 19:54:46,20.98
2025-02-01 19:49:47,20.98
2025-02-01 19:39:47,21.13
2025-02-01 19:34:45,21.14
2025-02-01 19:29:48,21.19
2025-02-01 19:24:48,21.24
2025-02-01 19:19:47,21.24
2025-02-01 19:14:48,21.32
2025-02-01 19:09:48,21.27
2025-02-01 19:04:48,21.28
2025-02-01 18:59:48,21.25
2025-02-01 18:54:48,21.28
2025-02-01 18:49:47,21.36
2025-02-01 18:44:48,21.31
2025-02-01 18:39:47,21.36
2025-02-01 18:34:48,21.43
2025-02-01 18:29:48,21.45
2025-02-01 18:24:48,21.46
2025-02-01 18:19:49,21.51
2025-02-01 18:14:47,21.47
2025-02-01 18:09:48,21.46
2025-02-01 18:04:47,21.45
2025-02-01 17:59:47,21.52
2025-02-01 17:54:48,21.5
2025-02-01 17:49:46,21.41
2025-02-01 17:44:48,21.46
2025-02-01 17:39:48,21.47
2025-02-01 17:34:47,21.52
2025-02-01 17:29:45,21.44
2025-02-01 17:24:46,21.55
2025-02-01 17:19:48,21.52
2025-02-01 17:14:48,21.54
2025-02-01 17:09:48,21.55
2025-02-01 17:04:47,21.6
2025-02-01 16:59:46,21.59
2025-02-01 16:54:47,21.54
2025-02-01 16:49:46,21.5
2025-02-01 16:44:47,21.67
2025-02-01 16:39:48,21.67
2025-02-01 16:34:48,21.56
2025-02-01 16:29:46,21.56
2025-02-01 16:24:48,21.53
2025-02-01 16:19:43,21.71
2025-02-01 16:14:48,21.69
2025-02-01 16:09:47,21.64
2025-02-01 16:04:48,21.72
2025-02-01 15:59:48,21.7
2025-02-01 15:54:48,21.76
2025-02-01 15:49:48,21.71
2025-02-01 15:44:48,21.69
2025-02-01 15:39:49,21.68
2025-02-01 15:34:48,21.58
2025-02-01 15:29:47,21.6
2025-02-01 15:24:47,21.66
2025-02-01 15:19:48,21.71
2025-02-01 15:14:48,21.68
2025-02-01 15:09:48,21.63
2025-02-01 15:04:46,21.62
2025-02-01 14:59:47,21.5
2025-02-01 14:54:47,21.68
2025-02-01 14:49:47,21.61
2025-02-01 14:44:46,21.66
2025-02-01 14:39:48,21.55
