Tag name: Preben - Canteen Temperature
Time, Value
2025-02-22 23:55:47,22.68
2025-02-22 23:50:48,22.68
2025-02-22 23:45:48,22.67
2025-02-22 23:40:46,22.68
2025-02-22 23:35:47,22.68
2025-02-22 23:30:46,22.68
2025-02-22 23:25:48,22.68
2025-02-22 23:20:48,22.68
2025-02-22 23:15:47,22.68
2025-02-22 23:10:45,22.68
2025-02-22 23:05:48,22.68
2025-02-22 23:00:47,22.68
2025-02-22 22:55:46,22.68
2025-02-22 22:50:48,22.69
2025-02-22 22:45:47,22.69
2025-02-22 22:40:47,22.69
2025-02-22 22:35:48,22.69
2025-02-22 22:30:47,22.69
2025-02-22 22:25:47,22.7
2025-02-22 22:20:48,22.7
2025-02-22 22:15:46,22.7
2025-02-22 22:10:47,22.7
2025-02-22 22:05:48,22.75
2025-02-22 22:00:48,22.69
2025-02-22 21:55:47,22.7
2025-02-22 21:50:45,22.69
2025-02-22 21:45:48,22.71
2025-02-22 21:40:48,22.7
2025-02-22 21:35:47,22.71
2025-02-22 21:30:48,22.72
2025-02-22 21:25:48,22.71
2025-02-22 21:20:47,22.71
2025-02-22 21:15:47,22.71
2025-02-22 21:10:48,22.71
2025-02-22 21:05:47,22.72
2025-02-22 21:00:47,22.71
2025-02-22 20:55:48,22.72
2025-02-22 20:50:43,22.73
2025-02-22 20:45:47,22.72
2025-02-22 20:40:45,22.72
2025-02-22 20:35:48,22.72
2025-02-22 20:30:47,22.72
2025-02-22 20:25:47,22.72
2025-02-22 20:20:48,22.73
2025-02-22 20:15:45,22.73
2025-02-22 20:10:46,22.73
2025-02-22 20:05:48,22.73
2025-02-22 20:00:48,22.74
2025-02-22 19:55:46,22.74
2025-02-22 19:50:47,22.73
2025-02-22 19:45:46,22.74
2025-02-22 19:40:46,22.74
2025-02-22 19:35:47,22.75
2025-02-22 19:30:48,22.75
2025-02-22 19:25:48,22.75
2025-02-22 19:20:48,22.76
2025-02-22 19:15:47,22.75
2025-02-22 19:10:48,22.75
2025-02-22 19:05:47,22.76
2025-02-22 19:00:47,22.76
2025-02-22 18:55:48,22.76
2025-02-22 18:50:48,22.76
2025-02-22 18:45:47,22.76
2025-02-22 18:40:47,22.76
2025-02-22 18:35:48,22.77
2025-02-22 18:30:47,22.77
2025-02-22 18:25:48,22.76
2025-02-22 18:20:48,22.76
2025-02-22 18:15:47,22.76
2025-02-22 18:10:47,22.77
2025-02-22 18:05:42,22.77
2025-02-22 18:00:48,22.77
2025-02-22 17:55:49,22.77
2025-02-22 17:50:47,22.78
2025-02-22 17:45:48,22.77
2025-02-22 17:40:48,22.78
2025-02-22 17:35:47,22.78
2025-02-22 17:30:48,22.78
2025-02-22 17:25:47,22.78
2025-02-22 17:20:48,22.79
2025-02-22 17:15:47,22.79
2025-02-22 17:10:45,22.79
2025-02-22 17:05:40,22.8
2025-02-22 17:00:47,22.79
2025-02-22 16:55:48,22.8
2025-02-22 16:50:48,22.8
2025-02-22 16:45:48,22.82
2025-02-22 16:40:44,22.82
2025-02-22 16:35:48,22.81
2025-02-22 16:30:49,22.82
2025-02-22 16:25:46,22.83
2025-02-22 16:20:47,22.82
2025-02-22 16:15:48,22.82
2025-02-22 16:10:48,22.83
2025-02-22 16:05:47,22.82
2025-02-22 16:00:48,22.82
2025-02-22 15:55:48,22.83
2025-02-22 15:50:47,22.83
2025-02-22 15:45:48,22.82
2025-02-22 15:40:43,22.82
2025-02-22 15:35:48,22.82
2025-02-22 15:30:48,22.82
2025-02-22 15:25:48,22.81
2025-02-22 15:20:48,22.81
2025-02-22 15:15:47,22.82
2025-02-22 15:10:48,22.81
2025-02-22 15:05:48,22.81
2025-02-22 15:00:46,22.81
2025-02-22 14:55:48,22.81
2025-02-22 14:50:48,22.81
2025-02-22 14:45:46,22.81
2025-02-22 14:40:48,22.82
2025-02-22 14:35:48,22.82
2025-02-22 14:30:46,22.82
2025-02-22 14:25:48,22.82
2025-02-22 14:20:48,22.82
2025-02-22 14:15:47,22.82
2025-02-22 14:10:48,22.82
2025-02-22 14:05:47,22.82
2025-02-22 14:00:48,22.81
2025-02-22 13:55:48,22.81
2025-02-22 13:50:44,22.81
2025-02-22 13:45:48,22.82
2025-02-22 13:40:48,22.82
2025-02-22 13:35:48,22.82
2025-02-22 13:30:47,22.83
2025-02-22 13:25:48,22.82
2025-02-22 13:20:48,22.82
2025-02-22 13:15:44,22.82
