Tag name: Preben - Office 403 - Humidity
Time, Value
2025-02-10 23:55:36,21.68
2025-02-10 23:50:32,21.68
2025-02-10 23:45:34,21.71
2025-02-10 23:40:33,21.72
2025-02-10 23:35:35,21.7
2025-02-10 23:30:36,21.72
2025-02-10 23:25:32,21.73
2025-02-10 23:20:37,21.72
2025-02-10 23:15:33,21.74
2025-02-10 23:10:32,21.74
2025-02-10 23:05:31,21.78
2025-02-10 23:00:33,21.79
2025-02-10 22:55:32,21.79
2025-02-10 22:50:29,21.81
2025-02-10 22:45:32,21.8
2025-02-10 22:40:37,21.82
2025-02-10 22:35:36,21.83
2025-02-10 22:30:33,21.84
2025-02-10 22:25:34,21.83
2025-02-10 22:20:31,21.85
2025-02-10 22:15:35,21.85
2025-02-10 22:10:37,21.85
2025-02-10 22:05:33,21.88
2025-02-10 22:00:31,21.89
2025-02-10 21:55:34,21.88
2025-02-10 21:50:24,21.9
2025-02-10 21:45:32,21.9
2025-02-10 21:40:25,21.93
2025-02-10 21:35:35,21.93
2025-02-10 21:30:33,21.95
2025-02-10 21:25:36,21.93
2025-02-10 21:20:37,21.94
2025-02-10 21:15:31,21.95
2025-02-10 21:10:35,21.97
2025-02-10 21:05:37,21.95
2025-02-10 21:00:33,21.95
2025-02-10 20:55:33,21.96
2025-02-10 20:50:34,21.97
2025-02-10 20:45:36,21.99
2025-02-10 20:40:35,22.01
2025-02-10 20:35:36,22.04
2025-02-10 20:30:33,22
2025-02-10 20:25:34,22.02
2025-02-10 20:20:36,22.06
2025-02-10 20:15:35,22.09
2025-02-10 20:10:34,22.09
2025-02-10 20:05:33,22.1
2025-02-10 20:00:30,22.11
2025-02-10 19:55:36,22.11
2025-02-10 19:50:36,22.12
2025-02-10 19:45:29,22.12
2025-02-10 19:40:34,22.15
2025-02-10 19:35:35,22.14
2025-02-10 19:30:35,22.22
2025-02-10 19:25:33,22.24
2025-02-10 19:20:35,22.27
2025-02-10 19:15:34,22.29
2025-02-10 19:10:30,22.3
2025-02-10 19:05:35,22.34
2025-02-10 19:00:36,22.38
2025-02-10 18:55:36,22.39
2025-02-10 18:50:34,22.43
2025-02-10 18:45:36,22.46
2025-02-10 18:40:27,22.44
2025-02-10 18:35:37,22.47
2025-02-10 18:30:33,22.48
2025-02-10 18:25:27,22.5
2025-02-10 18:20:36,22.5
2025-02-10 18:15:27,22.52
2025-02-10 18:10:32,22.51
2025-02-10 18:05:37,22.54
2025-02-10 18:00:35,22.52
2025-02-10 17:55:34,22.54
2025-02-10 17:50:33,22.54
2025-02-10 17:45:32,22.53
2025-02-10 17:40:37,22.53
2025-02-10 17:35:35,22.55
2025-02-10 17:30:35,22.52
2025-02-10 17:25:36,22.52
2025-02-10 17:20:33,22.54
2025-02-10 17:15:29,22.55
2025-02-10 17:10:36,22.59
2025-02-10 17:05:35,22.59
2025-02-10 17:00:25,22.67
2025-02-10 16:55:36,22.67
2025-02-10 16:50:21,22.66
2025-02-10 16:45:26,22.7
2025-02-10 16:40:35,22.73
2025-02-10 16:35:37,22.74
2025-02-10 16:30:36,22.74
2025-02-10 16:25:33,22.79
2025-02-10 16:20:31,22.89
2025-02-10 16:15:33,22.89
2025-02-10 16:10:35,22.9
2025-02-10 16:05:29,22.92
2025-02-10 16:00:33,22.92
2025-02-10 15:55:27,23.02
2025-02-10 15:50:36,23.1
2025-02-10 15:45:33,23.13
2025-02-10 15:40:37,23.14
2025-02-10 15:35:34,23.3
2025-02-10 15:30:22,23.57
2025-02-10 15:25:31,23.77
2025-02-10 15:20:17,23.32
2025-02-10 15:15:26,23.63
2025-02-10 15:10:34,23.84
2025-02-10 15:05:22,24.2
2025-02-10 14:59:51,25.1
2025-02-10 14:54:12,24.48
2025-02-10 14:50:33,24.03
2025-02-10 14:45:08,23.63
2025-02-10 14:38:23,23.11
2025-02-10 14:35:32,23.3
2025-02-10 14:30:26,23.11
2025-02-10 14:25:17,23.16
2025-02-10 14:19:54,22.97
2025-02-10 14:15:31,23.07
2025-02-10 14:10:33,23.2
2025-02-10 14:05:07,23.33
2025-02-10 14:00:22,23.45
2025-02-10 13:55:27,23.21
2025-02-10 13:50:31,23.09
2025-02-10 13:45:20,23.19
2025-02-10 13:40:34,23.49
2025-02-10 13:35:34,23.56
2025-02-10 13:30:35,23.45
2025-02-10 13:25:37,24.31
2025-02-10 13:20:25,24.67
2025-02-10 13:15:35,23.95
2025-02-10 13:09:57,23.59
2025-02-10 13:05:29,23.32
2025-02-10 13:00:05,23.03
2025-02-10 12:55:28,23.38
2025-02-10 12:50:33,23.57
2025-02-10 12:45:10,23.88
2025-02-10 12:40:20,24.19
2025-02-10 12:35:21,24.38
2025-02-10 12:30:37,24.13
2025-02-10 12:25:27,23.96
2025-02-10 12:20:36,23.74
2025-02-10 12:09:52,23.36
2025-02-10 12:05:22,23.42
2025-02-10 12:00:11,23.29
2025-02-10 11:55:35,23.15
2025-02-10 11:50:37,23.22
2025-02-10 11:45:36,23.17
2025-02-10 11:40:27,23.13
2025-02-10 11:35:29,23.15
2025-02-10 11:30:32,23.12
2025-02-10 11:25:27,23.24
2025-02-10 11:20:20,23.21
2025-02-10 11:15:30,23.05
2025-02-10 11:10:21,23.08
2025-02-10 11:05:12,23.06
2025-02-10 11:00:27,23.08
2025-02-10 10:55:37,23.41
2025-02-10 10:50:35,23.41
2025-02-10 10:45:32,23.24
2025-02-10 10:40:12,23.26
2025-02-10 10:35:25,23.34
2025-02-10 10:30:13,23.29
2025-02-10 10:24:57,23.17
2025-02-10 10:20:32,23.16
2025-02-10 10:15:17,23.04
2025-02-10 10:10:25,23.01
2025-02-10 10:05:36,23.04
2025-02-10 10:00:36,23.05
2025-02-10 09:55:16,23.13
2025-02-10 09:50:16,23.13
2025-02-10 09:45:33,22.97
2025-02-10 09:40:27,22.89
2025-02-10 09:35:34,23.1
2025-02-10 09:30:00,23.11
2025-02-10 09:25:29,22.71
2025-02-10 09:20:32,22.58
2025-02-10 09:15:33,22.59
2025-02-10 09:10:30,22.46
2025-02-10 09:05:34,22.18
2025-02-10 09:00:24,22.3
2025-02-10 08:55:35,22.34
2025-02-10 08:50:01,22.58
2025-02-10 08:45:35,22.62
2025-02-10 08:40:36,22.74
2025-02-10 08:35:28,22.97
2025-02-10 08:30:24,22.87
2025-02-10 08:25:37,22.68
2025-02-10 08:20:27,22.49
2025-02-10 08:15:37,22.12
2025-02-10 08:10:36,21.61
2025-02-10 08:05:33,21.2
2025-02-10 08:00:28,21.2
2025-02-10 07:55:28,20.77
2025-02-10 07:50:37,20.74
2025-02-10 07:45:37,20.77
2025-02-10 07:40:30,20.73
2025-02-10 07:35:35,20.77
2025-02-10 07:30:36,20.72
2025-02-10 07:25:34,20.77
2025-02-10 07:20:37,20.76
2025-02-10 07:15:35,20.75
2025-02-10 07:10:26,20.81
2025-02-10 07:05:31,20.79
2025-02-10 07:00:36,20.78
2025-02-10 06:55:32,20.82
2025-02-10 06:50:34,20.84
2025-02-10 06:45:35,20.79
2025-02-10 06:40:37,20.79
2025-02-10 06:35:36,20.8
2025-02-10 06:30:24,20.83
2025-02-10 06:25:37,20.81
2025-02-10 06:20:31,20.8
2025-02-10 06:15:32,20.81
2025-02-10 06:10:37,20.82
2025-02-10 06:05:33,20.83
2025-02-10 06:00:34,20.82
2025-02-10 05:55:36,20.81
2025-02-10 05:50:32,20.85
2025-02-10 05:45:37,20.87
2025-02-10 05:40:30,20.86
2025-02-10 05:35:35,20.86
2025-02-10 05:30:36,20.87
2025-02-10 05:25:33,20.88
2025-02-10 05:20:35,20.88
2025-02-10 05:15:37,20.9
2025-02-10 05:10:35,20.88
2025-02-10 05:05:35,20.92
2025-02-10 05:00:36,20.88
2025-02-10 04:55:33,20.92
2025-02-10 04:50:25,20.9
2025-02-10 04:45:35,20.89
2025-02-10 04:40:27,20.9
2025-02-10 04:35:25,20.89
2025-02-10 04:30:30,20.91
2025-02-10 04:25:29,20.89
2025-02-10 04:20:34,20.9
2025-02-10 04:15:35,20.93
2025-02-10 04:10:37,20.92
2025-02-10 04:05:33,20.92
2025-02-10 04:00:35,20.93
2025-02-10 03:55:34,20.93
2025-02-10 03:50:35,20.93
2025-02-10 03:45:35,20.93
2025-02-10 03:40:37,20.92
2025-02-10 03:35:35,20.98
2025-02-10 03:30:35,21
2025-02-10 03:25:33,20.99
2025-02-10 03:20:24,20.99
2025-02-10 03:15:37,21.03
2025-02-10 03:10:35,21.03
2025-02-10 03:05:35,21
2025-02-10 03:00:31,21.03
2025-02-10 02:55:36,21.04
2025-02-10 02:50:37,21.06
2025-02-10 02:45:23,21.04
2025-02-10 02:40:35,21.05
2025-02-10 02:35:35,21.05
2025-02-10 02:30:36,21.05
2025-02-10 02:25:35,21.08
2025-02-10 02:20:37,21.07
2025-02-10 02:15:36,21.07
2025-02-10 02:10:35,21.08
2025-02-10 02:05:37,21.06
2025-02-10 02:00:33,21.06
2025-02-10 01:55:37,21.07
2025-02-10 01:50:36,21.05
2025-02-10 01:40:37,21.08
2025-02-10 01:35:35,21.06
2025-02-10 01:30:37,21.11
2025-02-10 01:25:36,21.1
2025-02-10 01:20:33,21.1
2025-02-10 01:15:34,21.1
2025-02-10 01:10:34,21.12
2025-02-10 01:05:35,21.12
2025-02-10 01:00:37,21.12
2025-02-10 00:55:27,21.14
2025-02-10 00:50:35,21.13
2025-02-10 00:45:34,21.12
2025-02-10 00:40:35,21.14
2025-02-10 00:35:36,21.13
2025-02-10 00:30:33,21.14
2025-02-10 00:25:37,21.14
2025-02-10 00:20:34,21.14
2025-02-10 00:15:36,21.12
2025-02-10 00:10:35,21.11
2025-02-10 00:05:34,21.09
2025-02-10 00:00:33,21.13
