Tag name: Preben - Office 408 - Humidity
Time, Value
2025-02-12 23:55:37,19.62
2025-02-12 23:50:37,19.59
2025-02-12 23:45:37,19.57
2025-02-12 23:40:37,19.53
2025-02-12 23:35:36,19.52
2025-02-12 23:30:37,19.54
2025-02-12 23:25:37,19.5
2025-02-12 23:20:37,19.46
2025-02-12 23:15:37,19.51
2025-02-12 23:10:37,19.43
2025-02-12 23:05:37,19.37
2025-02-12 23:00:37,19.37
2025-02-12 22:55:37,19.33
2025-02-12 22:50:36,19.29
2025-02-12 22:45:38,19.27
2025-02-12 22:40:36,19.27
2025-02-12 22:35:36,19.2
2025-02-12 22:30:36,19.14
2025-02-12 22:25:37,19.14
2025-02-12 22:20:37,19.12
2025-02-12 22:15:36,19.13
2025-02-12 22:10:36,19.18
2025-02-12 22:05:36,19.04
2025-02-12 22:00:37,19
2025-02-12 21:55:37,19.06
2025-02-12 21:50:37,19.02
2025-02-12 21:45:37,18.99
2025-02-12 21:40:37,18.93
2025-02-12 21:35:36,18.95
2025-02-12 21:30:37,18.92
2025-02-12 21:25:37,18.88
2025-02-12 21:20:37,18.94
2025-02-12 21:15:37,18.9
2025-02-12 21:10:36,18.91
2025-02-12 21:05:37,18.95
2025-02-12 21:00:37,18.9
2025-02-12 20:55:37,19
2025-02-12 20:50:36,18.97
2025-02-12 20:45:37,18.92
2025-02-12 20:40:37,18.92
2025-02-12 20:35:37,18.87
2025-02-12 20:30:37,18.92
2025-02-12 20:25:37,18.99
2025-02-12 20:20:37,18.95
2025-02-12 20:15:37,18.98
2025-02-12 20:10:37,18.96
2025-02-12 20:05:37,19.11
2025-02-12 20:00:36,19
2025-02-12 19:55:36,19
2025-02-12 19:50:37,19.07
2025-02-12 19:45:37,19.03
2025-02-12 19:40:37,19.12
2025-02-12 19:35:35,19.08
2025-02-12 19:30:37,19.1
2025-02-12 19:25:36,19.17
2025-02-12 19:20:37,19.09
2025-02-12 19:15:37,19.19
2025-02-12 19:10:37,19.24
2025-02-12 19:05:38,19.26
2025-02-12 19:00:37,19.38
2025-02-12 18:55:37,19.35
2025-02-12 18:50:37,19.24
2025-02-12 18:45:37,19.36
2025-02-12 18:40:35,19.33
2025-02-12 18:35:38,19.39
2025-02-12 18:30:36,19.38
2025-02-12 18:25:37,19.34
2025-02-12 18:20:37,19.46
2025-02-12 18:15:37,19.42
2025-02-12 18:10:37,19.37
2025-02-12 18:05:37,19.53
2025-02-12 18:00:37,19.47
2025-02-12 17:55:37,19.45
2025-02-12 17:50:36,19.59
2025-02-12 17:45:37,19.51
2025-02-12 17:40:37,19.51
2025-02-12 17:35:37,19.63
2025-02-12 17:30:37,19.6
2025-02-12 17:25:37,19.41
2025-02-12 17:20:36,19.61
2025-02-12 17:15:37,19.71
2025-02-12 17:10:36,19.69
2025-02-12 17:05:36,19.82
2025-02-12 17:00:37,19.85
