Tag name: Preben - Office 408 - Temperature
Time, Value
2025-02-20 23:55:48,22.11
2025-02-20 23:50:47,22.12
2025-02-20 23:45:48,22.13
2025-02-20 23:40:48,22.12
2025-02-20 23:35:47,22.12
2025-02-20 23:30:48,22.12
2025-02-20 23:25:47,22.11
2025-02-20 23:20:47,22.11
2025-02-20 23:15:48,22.12
2025-02-20 23:10:46,22.11
2025-02-20 23:05:48,22.11
2025-02-20 23:00:48,22.11
2025-02-20 22:55:47,22.11
2025-02-20 22:50:48,22.11
2025-02-20 22:45:48,22.14
2025-02-20 22:40:47,22.14
2025-02-20 22:35:48,22.14
2025-02-20 22:30:48,22.14
2025-02-20 22:25:46,22.14
2025-02-20 22:20:48,22.14
2025-02-20 22:15:48,22.14
2025-02-20 22:10:46,22.16
2025-02-20 22:05:47,22.16
2025-02-20 22:00:47,22.15
2025-02-20 21:55:47,22.17
2025-02-20 21:50:48,22.17
2025-02-20 21:45:47,22.16
2025-02-20 21:40:48,22.16
2025-02-20 21:35:48,22.21
2025-02-20 21:30:47,22.16
2025-02-20 21:25:48,22.16
2025-02-20 21:20:48,22.18
2025-02-20 21:15:47,22.17
2025-02-20 21:10:48,22.17
2025-02-20 21:05:48,22.18
2025-02-20 21:00:48,22.19
2025-02-20 20:55:48,22.19
2025-02-20 20:50:46,22.19
2025-02-20 20:45:48,22.2
2025-02-20 20:40:48,22.2
2025-02-20 20:35:47,22.19
2025-02-20 20:30:47,22.2
2025-02-20 20:25:48,22.2
2025-02-20 20:20:47,22.2
2025-02-20 20:15:48,22.2
2025-02-20 20:10:48,22.21
2025-02-20 20:05:48,22.2
2025-02-20 20:00:46,22.2
2025-02-20 19:55:48,22.21
2025-02-20 19:50:47,22.21
2025-02-20 19:45:48,22.2
2025-02-20 19:40:47,22.2
2025-02-20 19:35:46,22.21
2025-02-20 19:30:48,22.2
2025-02-20 19:25:47,22.21
2025-02-20 19:20:47,22.21
2025-02-20 19:15:48,22.21
2025-02-20 19:10:47,22.2
2025-02-20 19:05:47,22.21
2025-02-20 19:00:48,22.2
2025-02-20 18:55:47,22.21
2025-02-20 18:50:48,22.22
2025-02-20 18:45:48,22.22
2025-02-20 18:40:48,22.22
2025-02-20 18:35:48,22.21
2025-02-20 18:30:47,22.24
2025-02-20 18:25:47,22.23
2025-02-20 18:20:47,22.22
2025-02-20 18:15:46,22.24
2025-02-20 18:10:47,22.25
2025-02-20 18:05:48,22.24
2025-02-20 18:00:46,22.25
2025-02-20 17:55:48,22.25
2025-02-20 17:50:48,22.24
2025-02-20 17:45:48,22.24
2025-02-20 17:40:48,22.25
2025-02-20 17:35:48,22.25
2025-02-20 17:30:48,22.25
2025-02-20 17:25:48,22.25
2025-02-20 17:20:48,22.26
2025-02-20 17:15:45,22.26
2025-02-20 17:10:45,22.29
2025-02-20 17:05:45,22.3
2025-02-20 17:00:45,22.3
2025-02-20 16:55:45,22.31
2025-02-20 16:50:45,22.31
2025-02-20 16:45:45,22.31
2025-02-20 16:40:45,22.31
2025-02-20 16:35:45,22.32
2025-02-20 16:30:45,22.32
2025-02-20 16:25:45,22.32
2025-02-20 16:20:45,22.3
2025-02-20 16:15:45,22.34
2025-02-20 16:10:46,22.34
2025-02-20 16:05:45,22.35
2025-02-20 16:00:44,22.36
2025-02-20 15:55:45,22.38
2025-02-20 15:50:45,22.38
2025-02-20 15:45:44,22.4
2025-02-20 15:40:45,22.43
2025-02-20 15:35:44,22.43
2025-02-20 15:30:44,22.4
2025-02-20 15:25:45,22.41
2025-02-20 15:20:45,22.46
2025-02-20 15:15:46,22.45
2025-02-20 15:10:45,22.42
2025-02-20 15:05:43,22.42
2025-02-20 15:00:46,22.46
2025-02-20 14:55:45,22.45
