SensorName,Time,Value
Preben - Canteen Humidity,2025-02-14 23:55:36,18.73
Preben - Canteen Humidity,2025-02-14 23:50:38,18.7
Preben - Canteen Humidity,2025-02-14 23:45:35,18.69
Preben - Canteen Humidity,2025-02-14 23:40:37,18.72
Preben - Canteen Humidity,2025-02-14 23:35:37,18.75
Preben - Canteen Humidity,2025-02-14 23:30:31,18.76
Preben - Canteen Humidity,2025-02-14 23:25:37,18.73
Preben - Canteen Humidity,2025-02-14 23:20:37,18.7
Preben - Canteen Humidity,2025-02-14 23:15:36,18.69
Preben - Canteen Humidity,2025-02-14 23:10:36,18.7
Preben - Canteen Humidity,2025-02-14 23:05:37,18.72
Preben - Canteen Humidity,2025-02-14 23:00:37,18.71
Preben - Canteen Humidity,2025-02-14 22:50:36,18.66
Preben - Canteen Humidity,2025-02-14 22:45:37,18.62
Preben - Canteen Humidity,2025-02-14 22:40:38,18.54
Preben - Canteen Humidity,2025-02-14 22:35:36,18.44
Preben - Canteen Humidity,2025-02-14 22:30:36,18.36
Preben - Canteen Humidity,2025-02-14 22:25:38,18.62
Preben - Canteen Humidity,2025-02-14 22:20:36,18.75
Preben - Canteen Humidity,2025-02-14 22:15:37,18.77
Preben - Canteen Humidity,2025-02-14 22:10:37,18.78
Preben - Canteen Humidity,2025-02-14 22:05:36,18.79
Preben - Canteen Humidity,2025-02-14 22:00:37,18.84
Preben - Canteen Humidity,2025-02-14 21:55:37,18.86
Preben - Canteen Humidity,2025-02-14 21:50:38,18.85
Preben - Canteen Humidity,2025-02-14 21:45:36,18.86
Preben - Canteen Humidity,2025-02-14 21:40:37,18.85
Preben - Canteen Humidity,2025-02-14 21:35:37,18.84
Preben - Canteen Humidity,2025-02-14 21:30:36,18.84
Preben - Canteen Humidity,2025-02-14 21:25:36,18.86
Preben - Canteen Humidity,2025-02-14 21:20:37,18.83
Preben - Canteen Humidity,2025-02-14 21:15:38,18.85
Preben - Canteen Humidity,2025-02-14 21:10:35,18.82
Preben - Canteen Humidity,2025-02-14 21:05:36,18.83
