SensorName,Time,Value
Preben - Canteen Humidity,2025-03-20 23:57:01,22.36
Preben - Canteen Humidity,2025-03-20 23:52:01,22.38
Preben - Canteen Humidity,2025-03-20 23:47:02,22.39
Preben - Canteen Humidity,2025-03-20 23:41:59,22.36
Preben - Canteen Humidity,2025-03-20 23:37:00,22.38
Preben - Canteen Humidity,2025-03-20 23:32:02,22.35
Preben - Canteen Humidity,2025-03-20 23:27:01,22.43
Preben - Canteen Humidity,2025-03-20 23:22:02,22.43
Preben - Canteen Humidity,2025-03-20 23:17:01,22.44
Preben - Canteen Humidity,2025-03-20 23:12:01,22.49
Preben - Canteen Humidity,2025-03-20 23:07:01,22.49
Preben - Canteen Humidity,2025-03-20 23:02:02,22.49
Preben - Canteen Humidity,2025-03-20 22:57:00,22.49
Preben - Canteen Humidity,2025-03-20 22:52:01,22.51
Preben - Canteen Humidity,2025-03-20 22:46:58,22.55
Preben - Canteen Humidity,2025-03-20 22:42:00,22.55
Preben - Canteen Humidity,2025-03-20 22:37:01,22.57
Preben - Canteen Humidity,2025-03-20 22:32:02,22.57
Preben - Canteen Humidity,2025-03-20 22:27:01,22.57
Preben - Canteen Humidity,2025-03-20 22:22:02,22.63
Preben - Canteen Humidity,2025-03-20 22:17:01,22.63
Preben - Canteen Humidity,2025-03-20 22:11:59,22.6
Preben - Canteen Humidity,2025-03-20 22:07:01,22.63
Preben - Canteen Humidity,2025-03-20 22:02:01,22.61
Preben - Canteen Humidity,2025-03-20 21:57:02,22.6
Preben - Canteen Humidity,2025-03-20 21:51:59,22.58
Preben - Canteen Humidity,2025-03-20 21:47:01,22.62
Preben - Canteen Humidity,2025-03-20 21:42:01,22.64
Preben - Canteen Humidity,2025-03-20 21:37:01,22.7
Preben - Canteen Humidity,2025-03-20 21:32:01,22.66
Preben - Canteen Humidity,2025-03-20 21:26:59,22.7
Preben - Canteen Humidity,2025-03-20 21:22:01,22.72
Preben - Canteen Humidity,2025-03-20 21:17:00,22.7
Preben - Canteen Humidity,2025-03-20 21:12:02,22.72
Preben - Canteen Humidity,2025-03-20 21:07:02,22.71
Preben - Canteen Humidity,2025-03-20 21:02:00,22.7
Preben - Canteen Humidity,2025-03-20 20:57:02,22.7
Preben - Canteen Humidity,2025-03-20 20:52:00,22.69
Preben - Canteen Humidity,2025-03-20 20:47:01,22.71
Preben - Canteen Humidity,2025-03-20 20:41:59,22.71
Preben - Canteen Humidity,2025-03-20 20:37:01,22.7
Preben - Canteen Humidity,2025-03-20 20:32:01,22.69
Preben - Canteen Humidity,2025-03-20 20:26:59,22.7
Preben - Canteen Humidity,2025-03-20 20:22:02,22.7
Preben - Canteen Humidity,2025-03-20 20:17:00,22.69
Preben - Canteen Humidity,2025-03-20 20:12:01,22.75
Preben - Canteen Humidity,2025-03-20 20:07:02,22.66
